Context	Comparsion	Chr_D	Start_D	end_D	Chr_F	Start_F	end_F	Feature	Overlap(bp)	POPA-POPB	Gene_ID	Chr	up_5k	Start	End	down_5k	Strand
CG	Teosinte/Maize	4	31912314	31912975	4	31746601	31967820	Intergenic	661	-0.564846	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	36832696	36832818	4	36832641	36832954	Exon	122	-0.481288	Zm00001d049597	4	36825553	36830553	36836546	36841546	+
CG	Teosinte/Maize	4	38570933	38571367	4	38570664	38571937	Exon	434	-0.448375	Zm00001d049642	4	38565097	38570097	38574015	38579015	+
CG	Teosinte/Maize	4	41054692	41055794	4	41051501	41056500	Gene_up_5K	1102	-0.441145	Zm00001d049709	4	41043979	41048979	41056104	41061104	+
CG	Teosinte/Maize	4	43648504	43648894	4	43648622	43649031	Exon	272	-0.479325	Zm00001d049763	4	43639618	43644618	43649031	43654031	-
CG	Teosinte/Maize	4	45737883	45738111	4	45673448	45767418	Intergenic	228	-0.701531	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	46663957	46663998	4	46658743	46700235	Intergenic	41	-0.514811	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	46988995	46989591	4	46988136	46989563	Exon	568	-0.424211	Zm00001d049832	4	46983136	46988136	47003528	47008528	+
CG	Teosinte/Maize	4	48623894	48624327	4	48431585	48652711	Intergenic	433	-0.44878	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	48624684	48625341	4	48431585	48652711	Intergenic	657	-0.571373	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	53867466	53868473	4	53780291	53884725	Intergenic	1007	-0.46058	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	54179378	54179910	4	54081900	54192877	Intergenic	532	-0.479465	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	54281271	54281848	4	54279836	54281606	Exon	335	-0.422263	Zm00001d049940	4	54274508	54279508	54282162	54287162	+
CG	Teosinte/Maize	4	57029933	57030869	4	56975349	57076534	Intergenic	936	-0.566572	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	61480265	61480697	4	61400298	61493692	Intergenic	432	-0.458364	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	61547098	61547202	4	61526905	61548230	Intergenic	104	-0.53217	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	61547664	61548128	4	61526905	61548230	Intergenic	464	-0.483799	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	65079757	65080014	4	65078952	65080036	Exon	257	-0.51286	Zm00001d050089	4	65073952	65078952	65090738	65095738	+
CG	Teosinte/Maize	4	66677407	66678272	4	66656392	66958137	Intergenic	865	-0.566778	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	68966410	68966554	4	68757442	69038208	Intergenic	144	-0.501057	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	89042598	89043663	4	89039284	89044283	Gene_down_5K	1065	-0.412263	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	90608031	90608387	4	90604494	90609493	Gene_up_5K	356	-0.571714	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	91937483	91937720	4	91852185	91984765	Intergenic	237	-0.569883	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	91984276	91984995	4	91852185	91984765	Intergenic	489	-0.580954	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	91988853	91989605	4	91984766	91989765	Gene_up_5K	752	-0.703525	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	97250855	97251764	4	97114427	97286393	Intergenic	909	-0.491561	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	98668810	98669836	4	98042797	98811260	Intergenic	1026	-0.677577	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	99944079	99944598	4	99767467	100405422	Intergenic	519	-0.541568	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	99946040	99946180	4	99767467	100405422	Intergenic	140	-0.65966	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	101019461	101019626	4	101014582	101019581	Gene_up_5K	120	-0.645454	Zm00001d050563	4	101014582	101019582	101020389	101025389	+
CG	Teosinte/Maize	4	101167779	101168118	4	101167830	101169764	Exon	288	-0.485848	Zm00001d050565	4	101162830	101167830	101169764	101174764	+
CG	Teosinte/Maize	4	102249929	102250497	4	102249544	102251559	Intron	568	-0.68696	Zm00001d050580	4	102237515	102242515	102251909	102256909	-
CG	Teosinte/Maize	4	102597623	102597811	4	102597020	102598804	Exon	188	-0.596382	Zm00001d050585	4	102592020	102597020	102598804	102603804	+
CG	Teosinte/Maize	4	102966362	102966624	4	102963825	102968824	Gene_up_5K	262	-0.541559	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	103106883	103107914	4	102968825	103189373	Intergenic	1031	-0.683985	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	106058879	106059620	4	105841146	106710914	Intergenic	741	-0.806289	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	107860884	107861095	4	107857361	107862360	Gene_up_5K	211	-0.70866	Zm00001d050635	4	107855850	107860850	107861365	107866365	+
CG	Teosinte/Maize	4	107861438	107861986	4	107857361	107862360	Gene_up_5K	548	-0.691494	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	108158698	108159691	4	107955927	108467470	Intergenic	993	-0.707617	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	111708780	111708975	4	110792580	112069058	Intergenic	195	-0.422751	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	112109512	112110817	4	112080576	112400475	Intergenic	1305	-0.437916	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	112920447	112920711	4	112902196	112994830	Intergenic	264	-0.510203	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	114461904	114462008	4	114208125	114690905	Intergenic	104	-0.533557	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	115249927	115250238	4	115234758	115254035	Intergenic	311	-0.543732	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	115252777	115253679	4	115234758	115254035	Intergenic	902	-0.73387	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	118698798	118699247	4	118691771	118806902	Intergenic	449	-0.521618	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	127378908	127379663	4	127378539	127379909	Exon	755	-0.466498	Zm00001d050862	4	127373539	127378539	127379909	127384909	+
CG	Teosinte/Maize	4	132435759	132436252	4	132376205	132559131	Intergenic	493	-0.467774	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	134879297	134879489	4	134824669	134982116	Intergenic	192	-0.486738	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	138472396	138473491	4	138472340	138473695	Exon	1095	-0.536816	Zm00001d051044	4	138467340	138472340	138473695	138478695	-
CG	Teosinte/Maize	4	149905738	149906299	4	149904706	149906368	Exon	561	-0.522486	Zm00001d051241	4	149899706	149904706	149910230	149915230	+
CG	Teosinte/Maize	4	156769793	156770158	4	156767880	156770006	Exon	213	-0.598891	Zm00001d051387	4	156762880	156767880	156770006	156775006	+
CG	Teosinte/Maize	4	156989589	156989716	4	156986112	156991111	Gene_up_5K	127	-0.767269	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	160310959	160311119	4	160308785	160315339	Intergenic	160	-0.670124	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	172708719	172709066	4	172708058	172711327	Exon	347	-0.484282	Zm00001d051864	4	172703058	172708058	172720334	172725334	+
CG	Teosinte/Maize	4	174313988	174314295	4	174310635	174315634	Gene_down_5K	307	-0.401169	Zm00001d051906	4	174308233	174313233	174318928	174323928	+
CG	Teosinte/Maize	4	174318298	174318706	4	174314008	174319007	Gene_down_5K	408	-0.415139	Zm00001d051906	4	174308233	174313233	174318928	174323928	+
CG	Teosinte/Maize	4	174430726	174431162	4	174429847	174434846	Gene_down_5K	436	-0.417319	Zm00001d051912	4	174425425	174430425	174434646	174439646	-
CG	Teosinte/Maize	4	175156481	175156846	4	175156493	175156889	Exon	353	-0.472491	Zm00001d051951	4	175142743	175147743	175157252	175162252	+
CG	Teosinte/Maize	4	176252460	176252724	4	176251743	176255084	Intron	264	-0.442399	Zm00001d052001	4	176240559	176245559	176257814	176262814	+
CG	Teosinte/Maize	4	177965771	177965876	4	177965070	177970069	Gene_up_5K	105	-0.453321	Zm00001d052057	4	177957645	177962645	177966994	177971994	-
CG	Teosinte/Maize	4	188819753	188820006	4	188819768	188820010	Exon	238	-0.605032	Zm00001d052384	4	188814768	188819768	188824015	188829015	+
CG	Teosinte/Maize	4	201292212	201292353	4	201291413	201297709	Intron	141	-0.473676	Zm00001d052797	4	201285250	201290250	201299726	201304726	-
CG	Teosinte/Maize	4	202438790	202439247	4	202430132	202439991	Exon	457	-0.474439	Zm00001d052845	4	202425132	202430132	202439991	202444991	+
CG	Teosinte/Maize	4	207007246	207007437	4	206928446	207023260	Intergenic	191	-0.638197	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	207030390	207031225	4	207028730	207030871	Intron	481	-0.586106	Zm00001d052978	4	207023261	207028261	207031432	207036432	+
CG	Teosinte/Maize	4	207920540	207921131	4	207905668	207929332	Exon	591	-0.405598	Zm00001d052992	4	207900668	207905668	207929332	207934332	-
CG	Teosinte/Maize	4	209033479	209033689	4	208911295	209048062	Intergenic	210	-0.430228	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	211993523	211994271	4	211993521	211993752	Exon	229	-0.478089	Zm00001d053067	4	211985615	211990615	211995460	212000460	+
CG	Teosinte/Maize	4	222748859	222749004	4	222747167	222752166	Gene_down_5K	145	-0.602001	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	222788755	222789394	4	222762021	222855693	Intergenic	639	-0.50934	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	227081027	227081568	4	227080656	227081827	Exon	541	-0.412116	Zm00001d053348	4	227073338	227078338	227081827	227086827	+
CG	Teosinte/Maize	4	227787726	227787905	4	227771290	227807358	Intergenic	179	-0.434863	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	228049901	228049971	4	227989198	228093293	Intergenic	70	-0.521173	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	230684785	230685385	4	230683439	230688438	Gene_down_5K	600	-0.435454	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	4	242516407	242516744	4	242516248	242517814	Intron	337	-0.411197	Zm00001d053861	4	242507382	242512382	242522531	242527531	+
CG	Teosinte/Maize	4	242516407	242516744	4	242516248	242517814	Intron	337	-0.411197	Zm00001d053862	4	242507732	242512732	242523643	242528643	-
CG	Teosinte/Maize	4	242953895	242953975	4	242952751	242957750	Gene_up_5K	80	-0.423781	Zm00001d053883	4	242948208	242953208	242954479	242959479	+
CG	Teosinte/Maize	4	243756277	243756657	4	243755733	243757389	Intron	380	-0.48591	Zm00001d053930	4	243749727	243754727	243759497	243764497	+
CG	Teosinte/Maize	4	244586780	244587051	4	244585738	244590737	Gene_up_5K	271	-0.403118	Zm00001d053984	4	244580903	244585903	244597338	244602338	+
CG	Teosinte/Maize	4	246272454	246272643	4	246271622	246273067	Exon	189	-0.502099	Zm00001d054088	4	246266622	246271622	246276744	246281744	+
CG	Teosinte/Maize	5	689088	689240	5	688582	689600	Intron	152	-0.578035	Zm00001d012811	5	683154	688154	696271	701271	+
CG	Teosinte/Maize	5	2557342	2557524	5	2557238	2558207	Exon	182	-0.45319	Zm00001d012970	5	2549674	2554674	2558207	2563207	+
CG	Teosinte/Maize	5	3953289	3953366	5	3950429	3955428	Gene_up_5K	77	-0.414414	Zm00001d013058	5	3947446	3952446	3967070	3972070	-
CG	Teosinte/Maize	5	4869927	4870067	5	4865603	4870602	Gene_up_5K	140	-0.617196	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	5376038	5376161	5	5375679	5380678	Gene_up_5K	123	-0.418703	Zm00001d013141	5	5368242	5373242	5376614	5381614	+
CG	Teosinte/Maize	5	7377179	7377494	5	7377290	7377516	Exon	204	-0.419359	Zm00001d013262	5	7367367	7372367	7382139	7387139	-
CG	Teosinte/Maize	5	11682830	11683139	5	11681565	11709145	Exon	309	-0.479791	Zm00001d013442	5	11676565	11681565	11709145	11714145	+
CG	Teosinte/Maize	5	11751811	11752121	5	11748491	11753490	Gene_up_5K	310	-0.581862	Zm00001d013445	5	11745201	11750201	11752331	11757331	+
CG	Teosinte/Maize	5	19739790	19740166	5	19739948	19740878	Exon	218	-0.519579	Zm00001d013768	5	19728215	19733215	19740908	19745908	-
CG	Teosinte/Maize	5	24004909	24004974	5	24004879	24005084	Exon	65	-0.53935	Zm00001d013891	5	23987511	23992511	24008741	24013741	+
CG	Teosinte/Maize	5	28635926	28636155	5	28635513	28639189	Exon	229	-0.430519	Zm00001d014013	5	28629910	28634910	28639671	28644671	-
CG	Teosinte/Maize	5	28986415	28987002	5	28983658	28988657	Gene_down_5K	587	-0.426349	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	29992878	29993368	5	29992990	29993154	Exon	164	-0.509029	Zm00001d014036	5	29983171	29988171	29994693	29999693	-
CG	Teosinte/Maize	5	30231374	30232063	5	30230017	30232086	Exon	689	-0.400027	Zm00001d014038	5	30225017	30230017	30235454	30240454	-
CG	Teosinte/Maize	5	36522677	36522996	5	36522150	36523481	Exon	319	-0.508806	Zm00001d014203	5	36517150	36522150	36523481	36528481	+
CG	Teosinte/Maize	5	40645979	40646180	5	40643281	40648280	Gene_down_5K	201	-0.482011	Zm00001d014316	5	40639981	40644981	40646957	40651957	-
CG	Teosinte/Maize	5	54058001	54058172	5	54053740	54058739	Gene_down_5K	171	-0.580397	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	61554588	61554750	5	61552963	61557962	Gene_up_5K	162	-0.499653	Zm00001d014753	5	61541176	61546176	61556400	61561400	+
CG	Teosinte/Maize	5	62948945	62949219	5	62948561	62949431	Exon	274	-0.46397	Zm00001d014783	5	62943202	62948202	62951476	62956476	+
CG	Teosinte/Maize	5	63149682	63150399	5	63149894	63150479	Exon	505	-0.781193	Zm00001d014788	5	63144894	63149894	63153861	63158861	-
CG	Teosinte/Maize	5	65054279	65054443	5	65053244	65058243	Gene_up_5K	164	-0.68277	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	65186726	65186897	5	65186717	65186833	Exon	107	-0.494065	Zm00001d014844	5	65181102	65186102	65197475	65202475	-
CG	Teosinte/Maize	5	66849244	66849597	5	66847316	66850188	Intron	353	-0.497659	Zm00001d014880	5	66838996	66843996	66850437	66855437	-
CG	Teosinte/Maize	5	67004264	67004519	5	67000734	67005733	Gene_down_5K	255	-0.461257	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	68510092	68510347	5	68491496	68740479	Intergenic	255	-0.531226	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	69319589	69319755	5	69318796	69321009	Exon	166	-0.451891	Zm00001d014943	5	69313796	69318796	69326197	69331197	+
CG	Teosinte/Maize	5	71064460	71064721	5	71064471	71064561	Intron	90	-0.431577	Zm00001d014983	5	71058270	71063270	71067861	71072861	-
CG	Teosinte/Maize	5	76226644	76226896	5	76226608	76226781	Exon	137	-0.691072	Zm00001d015115	5	76215204	76220204	76227831	76232831	-
CG	Teosinte/Maize	5	83446838	83447688	5	83444319	83449318	Gene_up_5K	850	-0.428439	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	85737615	85737976	5	85736662	85741661	Gene_up_5K	361	-0.598798	Zm00001d015348	5	85731319	85736319	85739753	85744753	+
CG	Teosinte/Maize	5	89090975	89091187	5	89090290	89091195	Exon	212	-0.488692	Zm00001d015412	5	89085290	89090290	89091195	89096195	+
CG	Teosinte/Maize	5	97094667	97094784	5	97062755	97178569	Intergenic	117	-0.473922	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	98834807	98835022	5	98834795	98835378	Exon	215	-0.437404	Zm00001d015570	5	98823050	98828050	98835540	98840540	+
CG	Teosinte/Maize	5	101867124	101868150	5	101852265	101909580	Intergenic	1026	-0.412894	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	102911817	102912317	5	102589182	102951748	Intergenic	500	-0.449167	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	103969592	103969855	5	103860289	104064944	Intergenic	263	-0.635165	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	104176053	104176491	5	104172720	104204487	Intergenic	438	-0.516611	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	107118518	107119037	5	107114805	107119804	Gene_down_5K	519	-0.401575	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	114167755	114168929	5	114167251	114172250	Gene_up_5K	1174	-0.709855	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	115090733	115091038	5	114793113	115202559	Intergenic	305	-0.400368	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	115177914	115178411	5	114793113	115202559	Intergenic	497	-0.409585	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	120487096	120487322	5	120458853	120511297	Intergenic	226	-0.733125	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	120488043	120488171	5	120458853	120511297	Intergenic	128	-0.561616	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	121146897	121147321	5	121146585	121151584	Gene_down_5K	424	-0.726034	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	121282685	121283060	5	121277058	121326567	Intergenic	375	-0.41136	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	121433471	121433932	5	121343700	121506490	Intergenic	461	-0.558663	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	123664992	123665267	5	123633678	123884596	Intergenic	275	-0.419777	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	123670047	123670696	5	123633678	123884596	Intergenic	649	-0.587147	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	126397369	126397658	5	126381085	126416596	Intergenic	289	-0.430977	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	127466578	127466919	5	127463462	127468461	Gene_up_5K	341	-0.409397	Zm00001d015872	5	127461210	127466210	127466782	127471782	-
CG	Teosinte/Maize	5	127909218	127909640	5	127783830	128096819	Intergenic	422	-0.553257	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	128733514	128733682	5	128733433	128735702	Exon	168	-0.552773	Zm00001d015884	5	128728433	128733433	128735702	128740702	-
CG	Teosinte/Maize	5	129692216	129692497	5	129691571	129695002	Exon	281	-0.432197	Zm00001d015893	5	129686571	129691571	129697192	129702192	+
CG	Teosinte/Maize	5	130812544	130813056	5	130794865	130942370	Intergenic	512	-0.762818	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	131468936	131469151	5	131464616	131469615	Gene_down_5K	215	-0.539463	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	150350268	150350401	5	150347205	150352204	Gene_down_5K	133	-0.452702	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	151196562	151197721	5	151147707	151205416	Intergenic	1159	-0.438336	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	5	153027136	153027705	5	153027334	153032333	Gene_down_5K	371	-0.513762	Zm00001d001662	5	153021870	153026870	153027333	153032333	+
CG	Teosinte/Maize	5	155420692	155420992	5	155417718	155422717	Gene_down_5K	300	-0.417047	Zm00001d016277	5	155412891	155417891	155421796	155426796	+
CG	Teosinte/Maize	5	161327522	161327760	5	161325898	161330897	Gene_up_5K	238	-0.455558	Zm00001d016411	5	161322143	161327143	161330435	161335435	-
CG	Teosinte/Maize	5	165948951	165949594	5	165949035	165950570	Exon	559	-0.462603	Zm00001d016520	5	165939432	165944432	165950570	165955570	+
CG	Teosinte/Maize	5	169534779	169535056	5	169534874	169534979	Intron	105	-0.467434	Zm00001d016601	5	169528606	169533606	169538843	169543843	-
CG	Teosinte/Maize	5	172501735	172501956	5	172501486	172502922	Exon	221	-0.431124	Zm00001d016687	5	172496486	172501486	172502922	172507922	-
CG	Teosinte/Maize	5	180067463	180067869	5	180064087	180069086	Gene_up_5K	406	-0.614912	Zm00001d016922	5	180061187	180066187	180076054	180081054	-
CG	Teosinte/Maize	5	185200600	185200821	5	185199585	185201232	Exon	221	-0.444924	Zm00001d017092	5	185194585	185199585	185201232	185206232	+
CG	Teosinte/Maize	5	198245127	198245923	5	198244236	198246356	Exon	796	-0.554036	Zm00001d017513	5	198239236	198244236	198246356	198251356	+
CG	Teosinte/Maize	5	201220831	201221001	5	201219244	201224243	Gene_up_5K	170	-0.487024	Zm00001d017597	5	201212982	201217982	201223628	201228628	+
CG	Teosinte/Maize	5	205089135	205089442	5	205085671	205090670	Gene_down_5K	307	-0.507806	Zm00001d017718	5	205083109	205088109	205091684	205096684	+
CG	Teosinte/Maize	5	205090056	205091249	5	205090100	205091121	Exon	1021	-0.81009	Zm00001d017718	5	205083109	205088109	205091684	205096684	+
CG	Teosinte/Maize	5	209721786	209722040	5	209717530	209722529	Gene_up_5K	254	-0.452087	Zm00001d017897	5	209714922	209719922	209722622	209727622	+
CG	Teosinte/Maize	5	215035611	215035927	5	215035374	215035995	Exon	316	-0.446648	Zm00001d018133	5	215029661	215034661	215049780	215054780	+
CG	Teosinte/Maize	5	220386178	220386415	5	220386316	220386482	Exon	99	-0.409855	Zm00001d018420	5	220374839	220379839	220387369	220392369	-
CG	Teosinte/Maize	5	221802333	221802602	5	221798945	221803944	Gene_up_5K	269	-0.72599	Zm00001d018495	5	221795393	221800393	221803136	221808136	+
CG	Teosinte/Maize	5	223001901	223002311	5	223001922	223002083	Exon	161	-0.450547	Zm00001d018557	5	222996922	223001922	223002955	223007955	-
CG	Teosinte/Maize	6	3098586	3099544	6	3094877	3099876	Gene_up_5K	958	-0.427639	Zm00001d035048	6	3081730	3086730	3108794	3113794	-
CG	Teosinte/Maize	6	5776753	5777031	6	5775690	5780689	Gene_up_5K	278	-0.434405	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	15662360	15663093	6	15661859	15806791	Intergenic	733	-0.432178	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	16238151	16238380	6	16215570	16271742	Intergenic	229	-0.454514	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	18823907	18824239	6	18823960	18828959	Gene_down_5K	279	-0.644172	Zm00001d035269	6	18816910	18821910	18823959	18828959	+
CG	Teosinte/Maize	6	28272421	28272966	6	28272057	28272842	Exon	421	-0.515323	Zm00001d035470	6	28266626	28271626	28278463	28283463	+
CG	Teosinte/Maize	6	41491094	41491595	6	41491481	41491623	Exon	114	-0.509748	Zm00001d035696	6	41483410	41488410	41492614	41497614	-
CG	Teosinte/Maize	6	42923722	42923969	6	42812669	42938937	Intergenic	247	-0.642721	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	45864756	45865183	6	45731112	46081181	Intergenic	427	-0.495181	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	46329361	46329702	6	46171533	46335882	Intergenic	341	-0.430981	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	51594557	51594990	6	51522186	51697103	Intergenic	433	-0.441404	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	54833397	54833597	6	54832597	54837596	Gene_up_5K	200	-0.625065	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	58307985	58308480	6	58307418	58308332	Exon	347	-0.414441	Zm00001d035881	6	58302418	58307418	58308332	58313332	+
CG	Teosinte/Maize	6	60019836	60020485	6	59914973	60123222	Intergenic	649	-0.485528	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	61832843	61833035	6	61832499	61833852	Intron	192	-0.474286	Zm00001d035953	6	61827098	61832098	61848309	61853309	+
CG	Teosinte/Maize	6	67404811	67404979	6	67361034	67436711	Intergenic	168	-0.449442	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	72523654	72523953	6	72495877	72613274	Intergenic	299	-0.52407	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	85389407	85389828	6	85388688	85393687	Gene_up_5K	421	-0.619352	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	87792955	87793246	6	87791940	87796939	Gene_down_5K	291	-0.663196	Zm00001d036422	6	87787051	87792051	87796989	87801989	+
CG	Teosinte/Maize	6	102132908	102133082	6	102129291	102134290	Gene_up_5K	174	-0.624094	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	113254595	113254976	6	113254781	113255928	Intron	195	-0.486493	Zm00001d037124	6	113249071	113254071	113256337	113261337	+
CG	Teosinte/Maize	6	118538302	118538452	6	118536050	118541049	Gene_up_5K	150	-0.595257	Zm00001d037264	6	118532385	118537385	118544732	118549732	+
CG	Teosinte/Maize	6	118588743	118588992	6	118549733	118721005	Intergenic	249	-0.457421	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	6	120195982	120196343	6	120195926	120196947	Exon	361	-0.608153	Zm00001d037305	6	120185685	120190685	120196947	120201947	+
CG	Teosinte/Maize	6	128805735	128806574	6	128804148	128806658	Exon	839	-0.606776	Zm00001d037544	6	128799148	128804148	128806658	128811658	-
CG	Teosinte/Maize	6	132797423	132797950	6	132793153	132798152	Gene_up_5K	527	-0.430208	Zm00001d037648	6	132791567	132796567	132805878	132810878	+
CG	Teosinte/Maize	6	143834831	143834948	6	143834712	143834950	Exon	117	-0.848304	Zm00001d037968	6	143829712	143834712	143836988	143841988	-
CG	Teosinte/Maize	6	160394073	160394198	6	160392780	160397779	Gene_down_5K	125	-0.451958	Zm00001d038579	6	160388660	160393660	160396437	160401437	-
CG	Teosinte/Maize	6	161551004	161551419	6	161547342	161552341	Gene_down_5K	415	-0.439568	Zm00001d038642	6	161544380	161549380	161551931	161556931	+
CG	Teosinte/Maize	6	167325784	167326148	6	167323587	167328586	Gene_down_5K	364	-0.446127	Zm00001d038937	6	167319066	167324066	167326614	167331614	+
CG	Teosinte/Maize	6	171572024	171572254	6	171570826	171572150	Exon	126	-0.562826	Zm00001d039165	6	171549081	171554081	171582712	171587712	-
CG	Teosinte/Maize	6	172092344	172093114	6	172092066	172093165	Exon	770	-0.431114	Zm00001d039183	6	172087066	172092066	172094056	172099056	+
CG	Teosinte/Maize	7	1461520	1461622	7	1460054	1465053	Gene_down_5K	102	-0.462383	NA	NA	NA	NA	NA	NA	NA
CG	Teosinte/Maize	7	5366713	5367202	7	5365547	5386515	Exon	489	-0.480258	Zm00001d018795	7	5360547	5365547	5386515	5391515	+
CG	Teosinte/Maize	7	8970930	8971246	7	8970967	8971229	Exon	262	-0.476827	Zm00001d018907	7	8964455	8969455	8977244	8982244	+
CG	Teosinte/Maize	7	9875312	9875461	7	9875206	9876918	Exon	149	-0.474615	Zm00001d018939	7	9869433	9874433	9879888	9884888	+
CG	Teosinte/Maize	7	17217388	17217627	7	17217356	17217567	Exon	179	-0.618794	Zm00001d019108	7	17211464	17216464	17235345	17240345	+
