Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	mean_Maize	mean_Lan	Compare	Gene
CG	2	65460476	65460559	8.70E-05	-0.403989	10	1.10E-05	7.40E-11	0.085225	0.48921	teosinte/maize	Zm00001d003890
CG	2	67661265	67661529	6.60E-09	-0.402795	6	4.60E-14	5.60E-15	0.47017	0.87296	teosinte/maize	Zm00001d003917
CG	2	67666276	67666538	1.20E-19	0.700994	6	4.60E-14	9.90E-26	0.76276	0.06177	teosinte/maize	Zm00001d003917
CG	2	71777281	71777740	9.70E-51	-0.691994	15	3.40E-14	8.20E-57	0.17875	0.87074	teosinte/maize	Zm00001d003950
CG	2	75237591	75237890	5.90E-20	0.482992	10	4.20E-14	5.00E-26	0.56688	0.08389	teosinte/maize	Zm00001d004009
CG	2	79799228	79799380	4.30E-16	0.532598	9	4.20E-14	3.60E-22	0.76822	0.23562	teosinte/maize	Zm00001d004055
CG	2	79993970	79994636	2.70E-44	-0.43975	31	5.00E-14	2.30E-50	0.39881	0.83856	teosinte/maize	Zm00001d004064
CG	2	81503212	81503326	7.50E-06	-0.437499	6	4.60E-14	6.40E-12	0.43473	0.87223	teosinte/maize	Zm00001d004088
CG	2	84507761	84508356	9.80E-20	0.414338	13	4.40E-14	8.40E-26	0.48216	0.067819	teosinte/maize	Zm00001d004125
CG	2	85804925	85805134	0.062	0.400892	7	1.10E-10	5.20E-08	0.91241	0.51152	teosinte/maize	Zm00001d004139
CG	2	86024547	86024918	4.20E-25	0.635889	11	4.30E-14	3.60E-31	0.92558	0.28969	teosinte/maize	Zm00001d004140
CG	2	95495020	95495524	3.50E-24	-0.608961	11	4.00E-14	3.00E-30	0.080013	0.68897	teosinte/maize	Zm00001d004243
CG	2	95496369	95496816	1.40E-17	-0.588274	11	4.30E-14	1.20E-23	0.010673	0.59895	teosinte/maize	Zm00001d004243
CG	2	96711774	96711938	4.00E-07	-0.436116	6	8.40E-14	3.40E-13	0.37368	0.8098	teosinte/maize	Zm00001d004252
CG	2	101601498	101601816	0.015	0.41486	6	2.60E-09	1.30E-08	0.89801	0.48315	teosinte/maize	Zm00001d004301
CG	2	105061787	105062003	9.70E-42	0.771128	11	3.80E-14	8.30E-48	0.81405	0.042923	teosinte/maize	Zm00001d004342
CG	2	106081719	106082435	1.30E-19	-0.413194	22	4.10E-14	1.10E-25	0.09962	0.51281	teosinte/maize	Zm00001d004358
CG	2	116471662	116471924	3.90E-17	0.506092	13	3.90E-14	3.30E-23	0.79166	0.28556	teosinte/maize	Zm00001d004521
CG	2	118177821	118178004	4.40E-09	0.434791	6	4.10E-14	3.70E-15	0.78322	0.34842	teosinte/maize	Zm00001d004564
CG	2	120679237	120679320	1.20E-09	-0.509318	6	4.60E-14	1.00E-15	0.26041	0.76973	teosinte/maize	Zm00001d004591
CG	2	123643427	123643699	0.0022	0.401594	6	2.40E-11	1.90E-09	0.77066	0.36907	teosinte/maize	Zm00001d004630
CG	2	128183587	128183798	1.50E-17	-0.475837	12	5.10E-14	1.30E-23	0.21166	0.68749	teosinte/maize	Zm00001d004667
CG	2	133576251	133576764	2.70E-38	0.501595	18	4.10E-14	2.30E-44	0.66695	0.16535	teosinte/maize	Zm00001d004718
CG	2	140018492	140018773	1.60E-59	0.494954	25	5.20E-14	1.40E-65	0.59372	0.098766	teosinte/maize	Zm00001d004800
CG	2	140032838	140033060	4.00E-20	0.683131	8	4.40E-14	3.40E-26	0.9057	0.22257	teosinte/maize	Zm00001d004800
CG	2	140588855	140589174	0.0013	-0.425281	6	2.20E-10	1.10E-09	0.26609	0.69137	teosinte/maize	Zm00001d004807
CG	2	143078808	143078947	2.50E-16	-0.691057	6	4.40E-14	2.10E-22	0.12213	0.81319	teosinte/maize	Zm00001d004839
CG	2	143078808	143078947	2.50E-16	-0.691057	6	4.40E-14	2.10E-22	0.12213	0.81319	teosinte/maize	Zm00001d004840
CG	2	144887285	144887397	3.90E-14	0.615692	7	4.20E-14	3.40E-20	0.82079	0.2051	teosinte/maize	Zm00001d004855
CG	2	149277452	149277668	0.00057	-0.439102	6	1.30E-08	4.90E-10	0.11164	0.55074	teosinte/maize	Zm00001d004930
CG	2	157558904	157559189	3.20E-24	0.630452	11	4.20E-14	2.70E-30	0.9205	0.29005	teosinte/maize	Zm00001d005076
CG	2	158135805	158135921	1.50E-06	-0.420429	9	1.00E-13	1.20E-12	0.12963	0.55006	teosinte/maize	Zm00001d005099
CG	2	160581416	160581549	1.90E-31	0.707413	12	4.00E-14	1.60E-37	0.94274	0.23533	teosinte/maize	Zm00001d005137
CG	2	161423669	161424311	1.40E-16	0.597844	6	4.60E-14	1.20E-22	0.66372	0.065875	teosinte/maize	Zm00001d005154
CG	2	165940268	165940305	1.20E-12	-0.598987	6	4.40E-14	1.00E-18	0.057354	0.65634	teosinte/maize	Zm00001d005253
CG	2	166466866	166467114	1.60E-11	0.593956	6	4.70E-14	1.30E-17	0.80813	0.21417	teosinte/maize	Zm00001d005269
CG	2	172695423	172695703	2.50E-09	0.465628	6	4.40E-14	2.20E-15	0.57727	0.11165	teosinte/maize	Zm00001d005402
CG	2	173710823	173711485	2.40E-19	-0.442083	19	4.50E-14	2.00E-25	0.14086	0.58294	teosinte/maize	Zm00001d005429
CG	2	182856681	182857000	6.10E-22	0.546637	9	3.70E-14	5.20E-28	0.9125	0.36586	teosinte/maize	Zm00001d005671
CG	2	185058334	185058568	2.50E-15	0.537597	6	4.00E-14	2.10E-21	0.67555	0.13795	teosinte/maize	Zm00001d005729
CG	2	188166320	188166863	3.70E-12	0.408618	11	4.60E-14	3.20E-18	0.66633	0.25772	teosinte/maize	Zm00001d005783
CG	2	190896640	190896944	5.50E-08	-0.524831	6	4.60E-14	4.70E-14	0.25457	0.7794	teosinte/maize	Zm00001d005852
CG	2	196699419	196699531	3.60E-10	-0.544956	6	4.20E-14	3.10E-16	0.22647	0.77142	teosinte/maize	Zm00001d006057
CG	2	198820415	198820861	1.10E-33	0.48137	18	4.40E-14	9.80E-40	0.66001	0.17864	teosinte/maize	Zm00001d006113
CG	2	199147180	199147442	0.0002	-0.402859	6	6.60E-11	1.70E-10	0.27806	0.68092	teosinte/maize	Zm00001d006118
CG	2	200728927	200728988	8.30E-17	-0.426664	7	4.40E-14	7.10E-23	0.47633	0.903	teosinte/maize	Zm00001d006176
CG	2	200730312	200730424	1.10E-17	-0.455046	7	4.60E-14	9.30E-24	0.39707	0.85211	teosinte/maize	Zm00001d006176
CG	2	201332485	201332841	3.00E-30	0.902825	7	5.00E-14	2.50E-36	0.90813	0.0053069	teosinte/maize	Zm00001d006197
CG	2	201333545	201334160	3.30E-122	0.89499	27	3.30E-14	2.80E-128	0.89789	0.0028952	teosinte/maize	Zm00001d006197
CG	2	201769717	201769836	2.50E-06	-0.471213	7	3.60E-11	2.10E-12	0.18102	0.65223	teosinte/maize	Zm00001d006204
CG	2	204165142	204165652	3.60E-29	-0.681752	12	4.50E-14	3.10E-35	0.027498	0.70925	teosinte/maize	Zm00001d006307
CG	2	204491596	204491734	5.80E-25	-0.635268	10	4.40E-14	4.90E-31	0.18907	0.82433	teosinte/maize	Zm00001d006320
CG	2	205078681	205078793	1.20E-28	0.574612	11	4.30E-14	1.00E-34	0.58542	0.010813	teosinte/maize	Zm00001d006342
CG	2	205078681	205078793	1.20E-28	0.574612	11	4.30E-14	1.00E-34	0.58542	0.010813	teosinte/maize	Zm00001d006343
CG	2	205259570	205259718	3.00E-15	-0.608304	7	4.10E-14	2.60E-21	0.10808	0.71638	teosinte/maize	Zm00001d006348
CG	2	214268466	214268565	4.80E-39	0.428621	15	4.20E-14	4.10E-45	0.46358	0.034959	teosinte/maize	Zm00001d006685
CG	2	216116631	216117308	3.50E-70	-0.56698	35	3.70E-14	3.00E-76	0.12157	0.68855	teosinte/maize	Zm00001d006759
CG	2	218314167	218314303	1.00E-07	-0.444249	7	4.30E-14	8.60E-14	0.30111	0.74536	teosinte/maize	Zm00001d006872
CG	2	218756093	218756804	3.00E-12	-0.409776	11	4.30E-14	2.50E-18	0.50996	0.91974	teosinte/maize	Zm00001d006895
CG	2	218756093	218756804	3.00E-12	-0.409776	11	4.30E-14	2.50E-18	0.50996	0.91974	teosinte/maize	Zm00001d006896
CG	2	220376318	220376576	4.70E-60	0.904734	13	5.20E-14	4.00E-66	0.90967	0.004937	teosinte/maize	Zm00001d007025
CG	2	220376318	220376576	4.70E-60	0.904734	13	5.20E-14	4.00E-66	0.90967	0.004937	teosinte/maize	Zm00001d007026
CG	2	222400272	222400422	4.30E-13	-0.55908	8	4.40E-14	3.60E-19	0.11722	0.6763	teosinte/maize	Zm00001d007107
CG	2	222400272	222400422	4.30E-13	-0.55908	8	4.40E-14	3.60E-19	0.11722	0.6763	teosinte/maize	Zm00001d007108
CG	2	222722360	222722426	4.90E-15	-0.499422	8	4.10E-14	4.10E-21	0.24047	0.73989	teosinte/maize	Zm00001d007118
CG	2	224484678	224485028	2.00E-38	0.509172	14	3.60E-14	1.70E-44	0.52581	0.016642	teosinte/maize	Zm00001d007200
CG	2	224487078	224487531	1.70E-34	-0.70537	10	3.80E-14	1.40E-40	0.12971	0.83508	teosinte/maize	Zm00001d007200
CG	2	225123545	225123683	0.001	0.443303	7	1.50E-13	8.50E-10	0.74235	0.29904	teosinte/maize	Zm00001d007223
CG	2	225123545	225123683	0.001	0.443303	7	1.50E-13	8.50E-10	0.74235	0.29904	teosinte/maize	Zm00001d007224
CG	2	225519568	225520028	5.00E-05	-0.466416	7	8.60E-09	4.20E-11	0.058081	0.5245	teosinte/maize	Zm00001d007240
CG	2	226994652	226995149	1.30E-18	0.428985	11	4.30E-14	1.10E-24	0.51979	0.090802	teosinte/maize	Zm00001d007295
CG	2	233249351	233249404	3.30E-08	-0.452827	6	4.30E-14	2.80E-14	0.34203	0.79486	teosinte/maize	Zm00001d007496
CG	2	234889393	234889471	3.30E-35	0.891013	9	5.10E-14	2.80E-41	0.89352	0.0025033	teosinte/maize	Zm00001d007559
CG	2	235081985	235082297	1.30E-13	0.453105	11	4.50E-14	1.10E-19	0.56572	0.11261	teosinte/maize	Zm00001d007575
CG	2	236611656	236612039	1.10E-21	0.66218	9	4.30E-14	9.60E-28	0.93856	0.27638	teosinte/maize	Zm00001d007634
CG	2	236781113	236781210	4.50E-13	-0.564908	8	4.10E-14	3.80E-19	0.33882	0.90373	teosinte/maize	Zm00001d007639
CG	2	236781113	236781210	4.50E-13	-0.564908	8	4.10E-14	3.80E-19	0.33882	0.90373	teosinte/maize	Zm00001d007640
CG	2	236783623	236783897	1.30E-28	-0.693173	10	4.20E-14	1.10E-34	0.11312	0.80629	teosinte/maize	Zm00001d007639
CG	2	236783623	236783897	1.30E-28	-0.693173	10	4.20E-14	1.10E-34	0.11312	0.80629	teosinte/maize	Zm00001d007640
CG	2	237419667	237419843	5.40E-20	0.640163	7	4.40E-14	4.60E-26	0.76935	0.12919	teosinte/maize	Zm00001d007687
CG	2	241123700	241124160	2.90E-18	-0.412742	17	3.90E-14	2.40E-24	0.22186	0.6346	teosinte/maize	Zm00001d007862
CG	2	241874720	241874883	5.60E-12	0.45661	7	4.40E-14	4.80E-18	0.50486	0.048245	teosinte/maize	Zm00001d007889
CG	3	189666	190249	2.20E-34	0.476384	29	3.80E-14	1.90E-40	0.91305	0.43667	teosinte/maize	Zm00001d039233
CG	3	700546	700604	9.70E-07	0.449639	6	5.80E-14	8.20E-13	0.67874	0.2291	teosinte/maize	Zm00001d039258
CG	3	700546	700604	9.70E-07	0.449639	6	5.80E-14	8.20E-13	0.67874	0.2291	teosinte/maize	Zm00001d039259
CG	3	704087	704251	1.70E-35	-0.703608	14	5.10E-14	1.50E-41	0.044858	0.74847	teosinte/maize	Zm00001d039259
CG	3	961154	961305	1.30E-06	-0.482658	6	4.20E-14	1.10E-12	0.26024	0.7429	teosinte/maize	Zm00001d039278
CG	3	1754333	1754631	1.20E-15	0.526361	6	4.00E-14	9.90E-22	0.58973	0.063369	teosinte/maize	Zm00001d039321
CG	3	1956747	1957159	3.20E-21	-0.460293	14	4.10E-14	2.70E-27	0.39997	0.86026	teosinte/maize	Zm00001d039327
CG	3	1956747	1957159	3.20E-21	-0.460293	14	4.10E-14	2.70E-27	0.39997	0.86026	teosinte/maize	Zm00001d039328
CG	3	3406756	3406896	0.038	0.407877	6	6.80E-14	3.30E-08	0.90406	0.49619	teosinte/maize	Zm00001d039397
CG	3	6185513	6185689	3.40E-21	0.76275	7	4.90E-14	2.90E-27	0.85393	0.091177	teosinte/maize	Zm00001d039511
CG	3	7526026	7526316	2.00E-43	0.427465	25	4.80E-14	1.70E-49	0.63251	0.20504	teosinte/maize	Zm00001d039537
CG	3	10946196	10946291	2.80E-05	-0.406845	8	2.10E-05	2.40E-11	0.0092507	0.4161	teosinte/maize	Zm00001d039660
CG	3	12828742	12829102	1.10E-35	-0.495498	23	3.90E-14	9.10E-42	0.25402	0.74951	teosinte/maize	Zm00001d039713
CG	3	12828742	12829102	1.10E-35	-0.495498	23	3.90E-14	9.10E-42	0.25402	0.74951	teosinte/maize	Zm00001d039714
CG	3	16536696	16537348	7.60E-41	0.503812	15	4.70E-14	6.40E-47	0.59291	0.089097	teosinte/maize	Zm00001d039847
CG	3	16536696	16537348	7.60E-41	0.503812	15	4.70E-14	6.40E-47	0.59291	0.089097	teosinte/maize	Zm00001d039848
CG	3	18643271	18643368	3.20E-08	-0.480448	9	4.70E-14	2.70E-14	0.053196	0.53364	teosinte/maize	Zm00001d039900
CG	3	18643271	18643368	3.20E-08	-0.480448	9	4.70E-14	2.70E-14	0.053196	0.53364	teosinte/maize	Zm00001d039901
CG	3	18643653	18643716	0.00049	-0.473575	6	0.00012	4.20E-10	0.0030556	0.47663	teosinte/maize	Zm00001d039900
CG	3	18643653	18643716	0.00049	-0.473575	6	0.00012	4.20E-10	0.0030556	0.47663	teosinte/maize	Zm00001d039901
CG	3	26935651	26935891	4.30E-05	-0.424079	9	1.50E-07	3.70E-11	0.014488	0.43857	teosinte/maize	Zm00001d040084
CG	3	39323556	39323759	1.20E-07	0.409427	6	4.20E-14	1.00E-13	0.47591	0.066486	teosinte/maize	Zm00001d040348
CG	3	46079565	46079788	1.30E-59	0.706727	17	3.20E-14	1.10E-65	0.76712	0.06039	teosinte/maize	Zm00001d040479
CG	3	55091186	55091507	4.80E-59	0.820245	14	3.20E-14	4.10E-65	0.82612	0.0058716	teosinte/maize	Zm00001d040630
CG	3	57112279	57112468	3.40E-59	0.832128	14	3.80E-14	2.90E-65	0.83771	0.005585	teosinte/maize	Zm00001d040670
CG	3	57176973	57177191	5.70E-18	0.767918	6	4.40E-14	4.80E-24	0.88586	0.11794	teosinte/maize	Zm00001d040671
CG	3	57176973	57177191	5.70E-18	0.767918	6	4.40E-14	4.80E-24	0.88586	0.11794	teosinte/maize	Zm00001d040672
CG	3	57177790	57178203	4.80E-07	0.484883	6	2.00E-12	4.10E-13	0.83681	0.35193	teosinte/maize	Zm00001d040671
CG	3	57177790	57178203	4.80E-07	0.484883	6	2.00E-12	4.10E-13	0.83681	0.35193	teosinte/maize	Zm00001d040672
CG	3	58481523	58481805	1.50E-20	-0.444588	13	4.60E-14	1.20E-26	0.4227	0.86729	teosinte/maize	Zm00001d040691
CG	3	68851748	68851933	1.50E-26	0.590358	10	5.00E-14	1.30E-32	0.67928	0.088923	teosinte/maize	Zm00001d040834
CG	3	71571275	71571618	1.40E-47	0.797155	13	4.80E-14	1.20E-53	0.89782	0.10067	teosinte/maize	Zm00001d040850
CG	3	77271829	77271933	1.40E-21	-0.550607	10	4.30E-14	1.20E-27	0.11461	0.66522	teosinte/maize	Zm00001d040898
CG	3	83499044	83499186	6.30E-06	-0.447719	9	2.30E-06	5.40E-12	0.0065434	0.45426	teosinte/maize	Zm00001d040960
CG	3	87047970	87048075	0.11	0.42433	6	5.00E-12	9.70E-08	0.91137	0.48704	teosinte/maize	Zm00001d040974
CG	3	87052424	87052647	1.50E-15	0.549494	12	3.80E-14	1.30E-21	0.93228	0.38279	teosinte/maize	Zm00001d040974
CG	3	88434376	88434612	1.80E-06	0.454794	8	4.50E-14	1.60E-12	0.76657	0.31178	teosinte/maize	Zm00001d040988
CG	3	92478122	92478800	3.90E-82	0.764061	26	6.40E-14	3.30E-88	0.88899	0.12493	teosinte/maize	Zm00001d041041
CG	3	97015194	97015485	2.80E-17	0.670255	8	4.30E-14	2.40E-23	0.92271	0.25245	teosinte/maize	Zm00001d041092
CG	3	97015750	97016039	2.50E-23	0.782776	8	3.80E-14	2.20E-29	0.90976	0.12698	teosinte/maize	Zm00001d041092
CG	3	102146927	102147771	2.60E-51	0.428646	46	4.40E-14	2.20E-57	0.88878	0.46014	teosinte/maize	Zm00001d041174
CG	3	103862016	103862361	2.90E-14	-0.426067	13	4.30E-14	2.50E-20	0.20519	0.63126	teosinte/maize	Zm00001d041186
CG	3	117384986	117385072	4.00E-06	-0.418467	6	6.00E-13	3.40E-12	0.21961	0.63808	teosinte/maize	Zm00001d041406
CG	3	117384986	117385072	4.00E-06	-0.418467	6	6.00E-13	3.40E-12	0.21961	0.63808	teosinte/maize	Zm00001d041407
CG	3	117396156	117396564	2.10E-20	0.542004	14	4.00E-14	1.80E-26	0.89443	0.35242	teosinte/maize	Zm00001d041407
CG	3	122404101	122404358	9.30E-15	-0.512683	9	4.20E-14	7.90E-21	0.26666	0.77934	teosinte/maize	Zm00001d041474
CG	3	122404101	122404358	9.30E-15	-0.512683	9	4.20E-14	7.90E-21	0.26666	0.77934	teosinte/maize	Zm00001d041475
CG	3	126107036	126107211	3.70E-42	0.416992	19	5.40E-14	3.10E-48	0.48661	0.06962	teosinte/maize	Zm00001d041533
CG	3	126107036	126107211	3.70E-42	0.416992	19	5.40E-14	3.10E-48	0.48661	0.06962	teosinte/maize	Zm00001d041534
CG	3	127700856	127701157	1.50E-10	0.442063	11	4.70E-14	1.30E-16	0.7066	0.26454	teosinte/maize	Zm00001d041573
CG	3	128235457	128235880	0.0014	0.477857	6	1.20E-13	1.20E-09	0.76889	0.29104	teosinte/maize	Zm00001d041582
CG	3	131548089	131548205	1.10E-09	-0.487539	6	4.00E-14	9.00E-16	0.18357	0.6711	teosinte/maize	Zm00001d041647
CG	3	133864568	133864641	2.80E-09	-0.552626	7	4.60E-14	2.40E-15	0.12702	0.67965	teosinte/maize	Zm00001d041698
CG	3	134964262	134964498	2.30E-07	0.413345	6	8.30E-12	2.00E-13	0.65867	0.24532	teosinte/maize	Zm00001d041719
CG	3	135679687	135679839	6.50E-14	0.687962	7	4.60E-14	5.50E-20	0.9438	0.25584	teosinte/maize	Zm00001d041743
CG	3	137252354	137252503	1.40E-15	0.726415	6	4.10E-14	1.20E-21	0.90991	0.1835	teosinte/maize	Zm00001d041776
CG	3	137268143	137268251	1.10E-18	0.740372	6	4.20E-14	9.50E-25	0.90211	0.16174	teosinte/maize	Zm00001d041777
CG	3	138824983	138825183	3.60E-09	-0.473635	8	4.60E-14	3.10E-15	0.27231	0.74595	teosinte/maize	Zm00001d041803
CG	3	140026881	140026938	3.50E-08	-0.544888	6	4.20E-14	3.00E-14	0.11587	0.66076	teosinte/maize	Zm00001d041839
CG	3	142233220	142233439	1.10E-14	-0.483633	9	4.20E-14	9.00E-21	0.33617	0.81981	teosinte/maize	Zm00001d041882
CG	3	144899203	144899533	1.20E-10	0.426086	6	4.40E-14	1.00E-16	0.5991	0.17302	teosinte/maize	Zm00001d041946
CG	3	147843714	147844089	8.90E-11	0.51268	10	4.30E-14	7.60E-17	0.90835	0.39567	teosinte/maize	Zm00001d042029
CG	3	149531849	149532257	3.40E-20	-0.443197	16	4.40E-14	2.90E-26	0.22529	0.66849	teosinte/maize	Zm00001d042066
CG	3	152448104	152448634	1.50E-18	-0.445212	18	4.70E-14	1.20E-24	0.080528	0.52574	teosinte/maize	Zm00001d042131
CG	3	155995975	155996317	5.10E-15	-0.527022	8	5.00E-14	4.30E-21	0.3185	0.84552	teosinte/maize	Zm00001d042199
CG	3	158437875	158437932	1.40E-06	-0.46876	6	4.70E-14	1.20E-12	0.26935	0.73811	teosinte/maize	Zm00001d042272
CG	3	158448337	158448511	2.10E-36	-0.635093	17	3.60E-14	1.80E-42	0.0038742	0.63897	teosinte/maize	Zm00001d042272
CG	3	159523334	159523427	2.10E-06	0.490878	6	4.70E-14	1.70E-12	0.70656	0.21569	teosinte/maize	Zm00001d042293
CG	3	159925509	159925626	5.90E-05	0.42366	6	4.70E-09	5.00E-11	0.7592	0.33554	teosinte/maize	Zm00001d042302
CG	3	166930881	166931600	4.20E-45	0.520768	31	4.80E-14	3.50E-51	0.90996	0.3892	teosinte/maize	Zm00001d042427
CG	3	172182869	172182972	2.00E-06	0.450754	6	4.20E-14	1.70E-12	0.54115	0.090394	teosinte/maize	Zm00001d042567
CG	3	173127570	173127640	1.70E-06	-0.445149	6	4.60E-14	1.40E-12	0.21125	0.6564	teosinte/maize	Zm00001d042599
CG	3	178075585	178075783	9.40E-12	0.430152	8	4.50E-14	8.00E-18	0.63779	0.20764	teosinte/maize	Zm00001d042714
CG	3	179106166	179106312	3.40E-13	0.576344	6	4.50E-14	2.90E-19	0.746	0.16965	teosinte/maize	Zm00001d042763
CG	3	179106166	179106312	3.40E-13	0.576344	6	4.50E-14	2.90E-19	0.746	0.16965	teosinte/maize	Zm00001d042764
CG	3	179405143	179405309	1.40E-07	0.488599	7	3.40E-13	1.20E-13	0.80332	0.31472	teosinte/maize	Zm00001d042778
CG	3	181432832	181433008	6.40E-16	0.613827	9	4.70E-14	5.40E-22	0.89605	0.28222	teosinte/maize	Zm00001d042833
CG	3	182288624	182289052	2.10E-39	0.46548	19	4.00E-14	1.80E-45	0.71992	0.25444	teosinte/maize	Zm00001d042861
CG	3	182288624	182289052	2.10E-39	0.46548	19	4.00E-14	1.80E-45	0.71992	0.25444	teosinte/maize	Zm00001d042862
CG	3	182845215	182845436	1.20E-15	0.696163	7	4.50E-14	1.10E-21	0.89106	0.1949	teosinte/maize	Zm00001d042884
CG	3	183060212	183060335	2.40E-14	0.449705	7	4.40E-14	2.00E-20	0.51189	0.062181	teosinte/maize	Zm00001d042888
CG	3	183995354	183995527	1.10E-21	-0.550832	11	4.10E-14	9.60E-28	0.066445	0.61728	teosinte/maize	Zm00001d042921
CG	3	184754527	184754666	1.50E-64	0.907507	14	4.80E-14	1.30E-70	0.91213	0.0046274	teosinte/maize	Zm00001d042955
CG	3	184757395	184757670	6.80E-09	0.485193	6	4.70E-14	5.80E-15	0.68358	0.19839	teosinte/maize	Zm00001d042955
CG	3	188445361	188445736	5.30E-20	-0.450659	16	4.00E-14	4.50E-26	0.24115	0.69181	teosinte/maize	Zm00001d043075
CG	3	188445361	188445736	5.30E-20	-0.450659	16	4.00E-14	4.50E-26	0.24115	0.69181	teosinte/maize	Zm00001d043076
CG	3	189130917	189131275	8.00E-22	0.557004	15	4.90E-14	6.80E-28	0.92314	0.36613	teosinte/maize	Zm00001d043094
CG	3	189776003	189776237	2.10E-74	0.833156	17	3.10E-14	1.80E-80	0.83506	0.0019053	teosinte/maize	Zm00001d043125
CG	3	189791448	189791654	1.50E-28	-0.669598	9	3.90E-14	1.30E-34	0.0046076	0.67421	teosinte/maize	Zm00001d043126
CG	3	190261959	190262088	4.60E-11	0.423168	6	4.20E-14	3.90E-17	0.52831	0.10514	teosinte/maize	Zm00001d043152
CG	3	190402104	190402756	2.50E-28	0.499082	14	4.80E-14	2.10E-34	0.55683	0.057746	teosinte/maize	Zm00001d043164
CG	3	190402104	190402756	2.50E-28	0.499082	14	4.80E-14	2.10E-34	0.55683	0.057746	teosinte/maize	Zm00001d043165
CG	3	191270303	191270551	6.20E-12	0.433777	9	4.10E-14	5.30E-18	0.65339	0.21962	teosinte/maize	Zm00001d043197
CG	3	194049879	194050196	1.50E-15	-0.618743	6	4.20E-14	1.20E-21	0.26991	0.88865	teosinte/maize	Zm00001d043274
CG	3	194965201	194965239	1.30E-07	0.467039	6	4.20E-14	1.10E-13	0.69164	0.2246	teosinte/maize	Zm00001d043296
CG	3	196588112	196588166	4.70E-08	0.556165	6	4.60E-14	4.00E-14	0.71999	0.16383	teosinte/maize	Zm00001d043327
CG	3	196986160	196986359	1.40E-06	-0.452328	6	6.50E-14	1.20E-12	0.25255	0.70488	teosinte/maize	Zm00001d043335
CG	3	197034315	197034443	4.40E-23	-0.584272	13	4.70E-14	3.70E-29	0.065613	0.64989	teosinte/maize	Zm00001d043341
CG	3	197490116	197490247	1.70E-15	0.61677	9	4.40E-14	1.40E-21	0.91854	0.30177	teosinte/maize	Zm00001d043353
CG	3	198677364	198677670	2.40E-05	-0.419923	6	9.30E-14	2.10E-11	0.37768	0.7976	teosinte/maize	Zm00001d043395
CG	3	199641057	199641140	8.40E-06	-0.455901	6	3.90E-13	7.20E-12	0.10854	0.56444	teosinte/maize	Zm00001d043432
CG	3	202392199	202392317	5.60E-18	-0.518586	8	3.60E-14	4.70E-24	0.058298	0.57688	teosinte/maize	Zm00001d043514
CG	3	203427423	203427564	2.50E-08	-0.469339	6	4.50E-14	2.20E-14	0.15861	0.62795	teosinte/maize	Zm00001d043543
CG	3	207880934	207881102	4.90E-08	-0.476904	6	4.40E-14	4.20E-14	0.20537	0.68228	teosinte/maize	Zm00001d043703
CG	3	209228804	209229061	7.70E-47	-0.757717	14	4.30E-14	6.50E-53	0.14499	0.90271	teosinte/maize	Zm00001d043762
CG	3	209229448	209230122	7.90E-114	-0.726658	31	4.60E-14	6.80E-120	0.19366	0.92032	teosinte/maize	Zm00001d043762
CG	3	209230323	209230755	5.30E-30	-0.626717	12	5.00E-14	4.50E-36	0.25205	0.87876	teosinte/maize	Zm00001d043762
CG	3	209231010	209231453	9.10E-21	-0.613221	9	3.70E-14	7.80E-27	0.28737	0.9006	teosinte/maize	Zm00001d043762
CG	3	209231674	209232219	1.70E-45	-0.654652	16	5.40E-14	1.40E-51	0.245	0.89966	teosinte/maize	Zm00001d043762
CG	3	209232710	209232798	3.60E-11	-0.514779	6	4.10E-14	3.10E-17	0.27579	0.79057	teosinte/maize	Zm00001d043762
CG	3	210934354	210934725	8.40E-12	0.480092	7	4.60E-14	7.10E-18	0.5934	0.11331	teosinte/maize	Zm00001d043813
CG	3	212852752	212852977	5.40E-17	0.481936	14	4.20E-14	4.60E-23	0.87569	0.39376	teosinte/maize	Zm00001d043882
CG	3	212853751	212854029	1.40E-25	0.408639	24	4.70E-14	1.20E-31	0.78033	0.37169	teosinte/maize	Zm00001d043882
CG	3	213755066	213755381	3.30E-21	-0.471089	14	4.70E-14	2.80E-27	0.17306	0.64415	teosinte/maize	Zm00001d043915
CG	3	214344654	214344803	1.80E-19	-0.55013	12	4.60E-14	1.50E-25	0.11888	0.66901	teosinte/maize	Zm00001d043942
CG	3	215520292	215520465	4.60E-30	0.691402	14	4.50E-14	3.90E-36	0.92825	0.23685	teosinte/maize	Zm00001d043980
CG	3	216875639	216876028	2.20E-26	-0.431565	17	4.40E-14	1.90E-32	0.27071	0.70228	teosinte/maize	Zm00001d044019
CG	3	220061930	220062460	8.90E-124	0.582955	50	5.00E-14	7.60E-130	0.71747	0.13451	teosinte/maize	Zm00001d044133
CG	3	220061930	220062460	8.90E-124	0.582955	50	5.00E-14	7.60E-130	0.71747	0.13451	teosinte/maize	Zm00001d044134
CG	3	220886544	220887121	8.90E-43	0.565944	15	2.90E-14	7.60E-49	0.62598	0.060036	teosinte/maize	Zm00001d044167
CG	3	221415065	221415161	1.50E-09	-0.545433	7	2.10E-13	1.30E-15	0.17303	0.71846	teosinte/maize	Zm00001d044186
CG	3	221415065	221415161	1.50E-09	-0.545433	7	2.10E-13	1.30E-15	0.17303	0.71846	teosinte/maize	Zm00001d044187
