Marker	Chr	Genetic	v2	v4
IDP4954	5	8.2	35,229	47582
IDP4955	10	97.5	139,000,722	140253781
IDP4957	8	152	166,621,045	171840474
IDP4958	2	129	108,623,787	111715470
IDP496	2	122.7	62,924,210	64525712
IDP4960	10	83.7	135,327,256	136803879
IDP4961	4	212.4	236,206,062	241422623
IDP4962	2	116.5	49,115,281	51165220
IDP4963	2	134	152,203,589	156918330
IDP4967	5	57.2	8,917,693	9273083
IDP4968	1	169.7	173,143,761	175080662
IDP497	7	44.6	5,038,184	5300784
IDP4971	2	131.2	140,877,236	145630779
IDP4972	2	163.7	199,591,864	206102498
IDP4973	5	142.7	178,560,971	182641101
IDP4974	7	90.6	84,156,798	87036758
IDP4976	3	97.8	48,053,359	47826539
IDP4977	8	46.9	14,062,825	14443864
IDP4978	6	108.1	152,313,560	156451110
IDP4979	3	257.2	225,311,123	229101615
IDP4980	9	5.8	2,899,083	2653926
IDP4981	1	266.3	232,738,194	236337244
IDP4982	3	116.9	145,731,883	146850004
IDP4983	4	83.7	20,859,056	22117090
IDP4984	4	201.8	229,056,576	234051464
IDP4985	6	1.4	373,433	394799
IDP4986	1	109.9	47,205,301	47473266
IDP4987	1	249.4	217,889,550	221076447
IDP4991	1	70.1	24,909,238	25283718
IDP4992	5	121.8	158,301,742	162044105
IDP4993	5	168.1	193,653,595	199059018
IDP4994	4	134.3	167,021,584	169974264
IDP4996	3	73.1	13,521,491	12816320
IDP500	8	0	834,957	966861
IDP5001	9	82	98,504,277	101927070
IDP5002	7	95	106,632,900	109908245
IDP5003	4	85.9	22,220,225	23492418
IDP5004	5	113	84,492,885	86723032
IDP5008	10	68.8	114,833,502	115847951
IDP501	6	27.2	94,420,922	97143903
IDP5011	2	203.4	221,476,322	228472662
IDP5012	10	83.7	134,588,790	135837500
IDP5013	6	13.7	14,484,474	24331319
IDP5014	1	266.3	233,557,986	237166499
IDP5016b	8	75.2	39,884,114	41049070
IDP5018	3	114	135,924,076	136615676
IDP5020	3	14	2,681,702	1928327
IDP5022	3	100	110,463,870	96376703
IDP5024	7	172.1	161,835,917	167307960
IDP5027	1	22	5,654,783	5724740
IDP5028	4	193.2	217,805,316	221947892
IDP5030	6	80.7	145,687,457	149772964
IDP5032	4	208.4	234,626,708	239825533
IDP5035	8	96.9	117,269,712	120187473
IDP5036	3	207.9	205,603,787	209051459
IDP5038	3	100	98,535,182	100517547
IDP5041	5	115.5	146,433,345	149875942
IDP5043	3	223.9	212,290,450	215965116
IDP5044	3	137.3	167,536,972	170197260
IDP5048	10	90.6	137,282,771	138502660
IDP5050	1	176.8	181,196,589	183183508
IDP5054a	3	100	63,692,879	63749868
IDP5054b	3	100	63,692,879	63749868
IDP5055	1	323.8	274,418,775	279286636
IDP5056	8	31.4	9,932,692	10303148
IDP5059	3	106.5	135,920,304	136611904
IDP506	3	116.9	148,980,146	150290679
IDP5060	7	97.2	120,726,429	124633530
IDP5061	4	110.6	60,357,909	62769651
IDP5062	8	91.3	102,712,115	104892221
IDP5063	5	83.9	15,439,064	15975927
IDP5064	6	36.8	100,729,998	103939953
IDP5065a	5	113	93,881,645	96310765
IDP507	10	83.7	134,413,254	135687025
IDP5070	3	265.8	229,306,682	233216161
IDP5071	9	74.6	37,132,152	38637321
IDP5072	7	93.6	104,374,443	107645028
IDP5073	5	98.1	38,207,117	39453880
IDP5074	7	123.7	139,502,341	144258947
IDP508	4	203.6	233,179,000	238338381
IDP51	5	134.6	172,933,577	177054462
IDP511	1	135.8	71,143,315	72422461
IDP512	1	272.1	240,863,031	244489498
IDP513	4	189.9	213,778,386	217828640
IDP514	5	75.4	12,153,738	12595144
IDP518	3	251	223,530,586	227280216
IDP52	10	60.7	82,042,431	81351792
IDP521	4	105.9	66,732,053	69217028
IDP522	3	146.1	176,678,435	179265703
IDP523	9	76.4	88,302,191	91660615
IDP524	10	63.3	99,381,221	99822851
IDP526	4	97.3	41,783,841	43537230
IDP529	9	61.9	20,745,826	20531766
IDP53	2	4.9	1,927,340	1919062
IDP532	5	25.1	3,955,180	4064725
IDP534	9	101.2	130,851,261	133117470
IDP535	8	112.7	135,714,099	139674931
IDP538	1	357.5	290,125,251	295607150
IDP54	2	39.6	10,009,806	10211057
IDP546	3	220.3	210,698,844	214328734
IDP547	4	110.6	75,504,560	78271381
IDP551	8	46.9	14,087,634	14469556
IDP553	1	26.3	8,134,563	8150918
IDP564	6	64.6	123,080,138	126949812
IDP57	8	150.1	165,985,088	171225442
IDP578	4	2.6	2,420,293	2999618
IDP58	3	265.3	227,773,122	231684089
IDP580	10	7.9	2,629,820	2213033
IDP582	10	62.9	90,929,624	91161107
IDP583	3	146.1	175,774,768	178332032
IDP5846	6	19.8	28,477,625	30060037
IDP5847	8	147.6	165,222,181	170407458
IDP5848	5	121.8	156,969,066	160763292
IDP5851	5	93.2	30,996,709	31934819
IDP5853	3	210.7	208,792,563	212359697
IDP5854	1	158.4	151,069,075	153037747
IDP5855	7	3.1	1,147,105	1252725
IDP5859a	5	51.6	6,905,330	7180414
IDP5860	2	194.3	217,878,001	224666359
IDP5861	6	13.7	13,955,066	23769468
IDP5862	2	197.5	218,585,788	225333514
IDP5863	1	149.7	91,021,274	92965446
IDP5865	6	23.6	62,474,966	65242670
IDP5866	1	152.4	92,983,824	95081382
IDP5867	9	188.3	153,422,084	156582236
IDP5868	3	216.8	210,356,046	213969557
IDP587	6	32.7	95,471,086	98284041
IDP5876	1	149.7	88,008,558	89955187
IDP5877	2	105.7	37,844,354	39373278
IDP5878	1	60.1	19,678,440	20007943
IDP588	6	107.1	154,343,622	158530812
IDP5880	2	129	96,903,572	99759982
IDP5881	9	109.6	136,704,560	139306537
IDP5882	1	249.4	218,239,817	221453901
IDP5883	2	129.4	119,661,069	123641639
IDP5884	6	47.9	111,177,344	115266649
IDP5885	10	50	33,749,728	34699439
IDP5886	8	83.6	80,504,166	82103995
IDP5887	1	53.3	15,524,683	15754567
IDP5891	2	179.3	211,509,067	218320421
IDP5895	8	83.6	81,454,138	82920201
IDP5896	7	107.8	129,234,493	133382418
IDP5897	5	37.1	4,924,503	5055271
IDP5898	1	148	85,803,998	87560171
IDP5905	9	190.3	153,488,419	156649659
IDP5906	6	59	112,401,362	116267865
IDP5907	3	106.5	131,133,607	131680299
IDP5908	6	143.6	162,672,539	166878186
IDP5909	3	97.8	48,057,280	47830623
IDP591	2	63.2	15,930,394	16352542
IDP5910	3	132.8	165,612,275	168248445
IDP5912	9	61.4	19,286,354	19191913
IDP5914	1	134.4	68,555,025	69743588
IDP5916	7	88.3	28,268,984	29415886
IDP5918	1	158.4	119,549,348	121352152
IDP5919	4	90.6	28,811,932	30340692
IDP592	2	129	111,314,623	114557844
IDP5920	2	26.9	5,454,174	5399814
IDP5923	2	105.7	38,573,329	40139685
IDP5925	3	106.5	124,666,101	125052244
IDP5927	10	63.3	88,334,564	88495563
IDP5928	9	149.5	146,428,593	149346017
IDP5930	1	34.2	9,490,905	9547528
IDP5933	5	107.8	67,045,252	68959383
IDP5934	5	32.4	4,478,671	4584731
IDP5935	2	202.7	222,121,757	229104323
IDP5936	2	105.7	34,221,797	35782980
IDP5937	1	326.7	277,381,898	282398131
IDP5940	1	148	82,632,180	84282182
IDP5942	4	111.3	139,013,939	142185863
IDP5943	5	83.9	15,444,255	15981118
IDP5944	1	110.6	49,367,818	49779079
IDP5948	1	60.1	21,601,314	21901444
IDP5949	2	19.2	4,687,679	4656675
IDP595	1	351.3	287,145,623	292330710
IDP5950	2	196.1	218,798,305	225550461
IDP5952	4	2.6	1,550,838	1865787
IDP5954	3	97.8	47,076,375	46815408
IDP5955	6	13.7	14,399,214	24238409
IDP5956	1	392.9	300,744,456	306362242
IDP5957	4	190.3	215,472,633	219580674
IDP5958	6	14.9	14,128,948	23989755
IDP5962	2	16.1	3,749,421	3773252
IDP5965	9	75.7	64,645,186	65311039
IDP5967	5	121.8	155,904,436	159710787
IDP5968b	9	78.7	89,978,931	93338913
IDP5969	6	73.5	131,957,870	136089876
IDP5971	3	96.9	47,355,358	47132629
IDP5974	9	75.7	63,396,502	66629497
IDP5975	3	142.9	172,136,757	174547168
IDP5976	5	92.4	23,876,748	24411301
IDP5977	7	87.1	17,693,533	18330772
IDP5978	4	96.5	37,296,802	38968538
IDP5979	2	30.2	7,180,082	7088357
IDP598	6	13.7	7,622,251	8037666
IDP5980	7	61	7,058,407	7446087
IDP5983	1	272.1	236,146,932	239629361
IDP5984	4	182.4	198,915,353	203233688
IDP5986	4	252.4	240,712,337	246245843
IDP5987	3	95.5	33,707,329	33345264
IDP5989	1	380.6	296,894,811	302378855
IDP5990	5	127	168,429,605	172391050
IDP5991	7	160.6	159,472,132	164887565
IDP5993	2	117.6	54,962,037	56992409
IDP5995a	5	93.2	31,339,256	32372953
IDP5996	6	75.6	138,304,012	142643777
IDP5997	4	55.2	10,455,024	11329629
IDP5999	5	106	58,122,604	59889504
IDP6002	7	95	112,214,688	115480263
IDP6003	7	145.9	155,908,112	161329568
IDP6004	10	50	21,424,301	21928700
IDP6009	4	117	151,938,547	155470199
IDP6010	6	59	116,123,817	120078519
IDP6011	7	97.9	121,297,836	125208431
IDP6013	5	29.8	4,876,569	4990247
IDP6014	3	197.9	201,798,171	205004185
IDP6015	5	8.2	1,129,179	1169584
IDP6019	8	108.5	125,522,162	129317508
IDP6020	1	380.6	296,844,924	302327474
IDP6021	3	130.7	161,252,125	162856237
IDP6022	1	110.6	48,543,642	48947089
IDP6024	5	25.1	3,780,662	3894170
IDP6025	6	59	115,308,486	119278372
IDP6026	9	95.5	123,775,686	125817782
IDP6027	1	311.4	262,511,622	267325319
IDP6028	9	135.3	143,893,580	146687819
IDP6029	1	87.4	34,665,191	34971358
IDP603	1	391.4	298,319,064	303814069
IDP6030	3	103.7	119,173,916	119390852
IDP6033	10	65.8	106,968,330	107665646
IDP6034	1	134.4	67,845,526	69012150
IDP6035	9	96.2	127,162,357	129325080
IDP6036	10	43.9	13,500,375	13649166
IDP6038	4	91.4	34,856,284	36474405
IDP6039	7	91	100,628,137	103801380
IDP6040	5	9.8	249,840	250849
IDP6044	1	141.7	75,760,679	77182333
IDP6046	4	87.6	24,067,339	25656663
IDP6048	2	127.1	103,198,730	106143559
IDP6049	10	62.5	85,450,258	85435349
IDP6050	6	33.4	98,247,625	101109921
IDP6054	1	323.8	275,048,543	279940220
IDP6056	8	159.1	167,189,777	172450113
IDP6057	1	89.1	36,799,665	37166528
IDP6058	9	101.2	131,385,128	133886259
IDP6061	9	83.5	103,871,332	107319998
IDP6062	6	19.8	32,346,347	33869860
IDP6063	1	142.4	77,542,054	79076727
IDP6065	4	22.1	4,188,189	5009305
IDP6068	9	75.7	46,597,571	48476648
IDP6069	8	113.4	138,937,864	143075334
IDP6070	6	13.7	15,562,728	25357121
IDP6075	1	142.4	79,347,234	80875417
IDP6076	1	98.2	40,156,468	40529439
IDP6077	1	98.2	40,159,037	40532008
IDP6078	5	106	56,218,239	58017354
IDP6079	4	82.2	18,587,099	19769383
IDP6083	1	26.3	7,858,683	7877293
IDP609	6	23.6	62,601,093	65375009
IDP616	2	146.4	187,878,084	193502544
IDP617	8	46.9	14,087,414	14469336
IDP62	6	45.2	107,736,319	112381475
IDP620	10	71	123,440,578	124513592
IDP622	1	57.4	18,698,475	19024392
IDP630	1	296	251,443,470	255568604
IDP635	6	76.3	141,907,448	146025487
IDP636	4	111.3	137,983,577	141103740
IDP637	1	167.4	172,020,872	173939349
IDP64	5	110.1	76,682,716	78984586
IDP640	1	257.2	224,796,112	228431079
IDP641	1	238.8	214,648,429	217822659
IDP642	4	110.6	141,278,259	144438532
IDP643	1	105.9	45,927,575	46179052
IDP644	1	250.3	222,547,212	225930299
IDP645	1	76.3	27,501,437	27695863
IDP647	5	115.5	135,301,419	138589236
IDP648	6	76.3	141,671,596	145787329
IDP649	6	27.2	94,420,815	97143796
IDP652	8	192.2	172,773,525	178075315
IDP653	1	164.8	167,950,653	169682915
IDP6578	3	106.5	125,690,508	126107297
IDP658	1	11.6	4,994,337	5108103
IDP6580	1	361.3	290,552,764	296027900
IDP6582	9	75.7	65,957,019	63978246
IDP6583	10	60.7	82,048,507	81357868
IDP6584	9	75.7	65,960,465	63974802
IDP6586	4	135.7	167,069,951	170025321
IDP6587	6	145.7	162,693,173	166898820
IDP6588	5	89.3	18,448,163	18918660
IDP6589	7	50.5	5,522,566	5841457
IDP659	6	61.2	115,705,541	119681135
IDP6590	7	50.1	5,522,566	5841457
IDP6593	1	166.2	170,850,689	172723016
IDP6594	2	176.9	210,027,946	216884341
IDP6599	3	229.5	215,478,534	219087299
IDP660	2	164.2	204,386,742	210943914
IDP6601	9	96.2	125,379,721	127437002
IDP6604	2	29.4	6,457,513	6438305
IDP661	2	238.9	233,178,175	240072555
IDP6610	4	65.9	13,163,355	14072799
IDP6612	9	69.6	26,822,834	26895883
IDP6613	4	182.4	193,022,275	197342992
IDP6617	1	148	86,167,913	88024705
IDP6618	10	89.9	136,965,048	138164343
IDP6619	5	35.7	5,245,125	5372552
IDP6620	2	146.4	186,891,249	192529115
IDP6623	3	101.3	108,426,615	94326993
IDP6624	10	63.3	93,476,856	93706857
IDP6627	7	119.6	133,377,290	137490386
IDP6629	10	71.4	124,058,673	125102370
IDP6633	1	325.6	275,772,804	280698412
IDP6636	2	158.3	196,527,673	202904067
IDP6637	5	106.9	61,523,166	63343927
IDP6638	4	243.5	239,412,399	244805174
IDP664	3	93	33,058,495	32671358
IDP665	9	88.5	113,057,787	116429649
IDP666	4	201.8	228,643,504	233618793
IDP667	3	132.8	166,019,309	168636575
IDP668	2	78.3	18,133,007	19342107
IDP669	1	273.4	241,471,074	245113765
IDP6726	5	194.4	205,275,138	210905873
IDP6727	5	51.6	6,984,343	7239662
IDP6728	4	117	153,469,862	157046724
IDP673	1	60.1	21,568,083	21883939
IDP6731	8	134.2	162,629,506	167638088
IDP6733	1	280.2	244,738,459	248431230
IDP6736	1	132.9	69,089,109	70299009
IDP6737	1	93.7	37,540,735	37915966
IDP6739	6	23.6	39,382,781	41152855
IDP6742	6	108.1	154,130,257	158313608
IDP6743	5	92.4	28,449,573	29101744
IDP6745	9	201.3	155,284,002	158371782
IDP6747	9	75.7	60,022,187	70155406
IDP6748	1	266.3	235,574,620	239022465
IDP6751	3	192.5	199,330,922	202421997
IDP6752	1	351.3	287,295,114	292481646
IDP6753	8	161.3	167,773,598	173019006
IDP6754	7	36.8	3,667,437	3847763
IDP6755	1	317.9	270,425,421	275191595
IDP6758	8	108.5	125,298,510	128724837
IDP6759	4	108.3	74,636,227	77403173
IDP6761	3	114	137,712,585	138411221
IDP6762	6	126.8	159,593,726	163763544
IDP6763	6	90.4	150,596,242	154718720
IDP6764	3	177.2	195,266,948	198236137
IDP6765	3	167.4	186,209,856	189140652
IDP6767	4	165.2	183,943,045	187361715
IDP6768	2	140.3	178,223,093	183651020
IDP677	2	19.2	4,205,520	4171768
IDP6770	9	120.4	139,961,085	142611684
IDP6771	8	180.2	170,959,225	176202030
IDP6773	3	223.2	213,004,351	216716781
IDP6777	3	78.5	16,577,074	15923927
IDP6779	9	78	88,187,630	91546537
IDP6780	9	92.4	117,308,973	119372521
IDP6781	10	77.7	131,103,744	132297740
IDP6783	2	185.9	214,527,200	221311983
IDP6784	1	258.6	230,122,031	233657255
IDP6785	3	101.3	90,058,126	109128918
IDP6786	3	106.5	126,107,088	126521478
IDP6787	8	75.2	62,007,573	62822020
IDP6788	7	212.9	169,840,742	175339385
IDP6791	3	78.5	17,115,801	16468007
IDP6792	6	24.7	66,436,275	69406348
IDP6793	3	78.5	17,180,932	16533301
IDP6796	2	138.9	174,674,499	179522778
IDP68	4	96.5	36,417,637	38074584
IDP680	6	23.2	38,407,800	40166442
IDP6800	7	137.8	151,240,925	156488668
IDP6801	5	131.7	171,688,287	175765173
IDP6802	1	281.8	246,406,309	250039454
IDP6803	2	149.3	191,376,040	197129064
IDP6804	3	106.5	133,742,654	134385862
IDP6805	2	138	164,858,925	169589562
IDP6807	7	103.3	126,805,194	130745425
IDP6808	6	73.5	130,753,698	134848523
IDP6809	7	96.8	115,274,388	118686741
IDP681	5	84.9	16,158,666	16707805
IDP6810	1	226.3	204,439,610	207280931
IDP6813	1	26.3	7,313,117	7311075
IDP6814	3	151.5	181,004,866	183917623
IDP6815	2	145.4	186,531,339	192116792
IDP6818	1	103.5	43,133,204	43355847
IDP6819	1	331.5	279,650,366	284780482
IDP682	2	59.1	14,836,360	15287280
IDP6822	6	24.4	59,409,748	62163599
IDP6823	8	149.4	165,271,754	170457533
IDP6825	4	111.3	138,630,064	141790789
IDP6827	10	74.1	123,814,426	124862386
IDP6828	4	8.2	2,692,448	3266546
IDP6829	3	100	65,736,140	65887930
IDP683	6	108.1	154,779,226	158906313
IDP6830	2	3.8	1,440,792	1419011
IDP6832	1	141.7	77,212,728	78723952
IDP6833	8	149.4	165,240,185	170425462
IDP6834	10	39.1	8,796,392	8721837
IDP6835	5	113.7	85,863,460	88150446
IDP6837	4	172.5	189,808,554	193974905
IDP684	5	63.5	11,081,637	11407591
IDP6841	2	170.7	205,713,904	212556486
IDP6842	4	208.4	234,601,786	239799087
IDP6843	3	236.1	217,830,537	221439659
IDP6845	6	109.5	155,010,164	159136487
IDP6846	1	55	16,777,114	17140916
IDP6849	7	77.4	11,800,928	12173418
IDP685	3	106.5	121,114,394	121373376
IDP6853	9	75.7	45,578,948	47489077
IDP6861	10	83.7	133,549,159	134775296
IDP6865	6	140.7	162,560,828	166766359
IDP6867	1	183.7	184,004,931	186074190
IDP6873	9	91.7	114,176,491	117527271
IDP688	4	234.6	238,314,387	243645266
IDP6881	2	149.3	192,783,350	198518298
IDP6883	9	115.2	139,747,737	142334480
IDP6885	1	263.8	231,697,595	235315455
IDP6888	10	89.9	136,965,048	138164343
IDP689	8	110.6	133,932,885	137864765
IDP6893	5	107.8	61,105,067	62948764
IDP6894	7	125.5	135,839,559	142133735
IDP69	5	25.1	3,343,095	3426380
IDP6900	6	36.8	103,576,089	106846685
IDP6905	2	161	199,137,407	205657685
IDP6906	5	41	5,544,367	5727247
IDP6908	1	4.7	3,469,288	3574087
IDP691	1	355.4	288,394,822	293749022
IDP6910	5	136.7	174,149,224	178246344
IDP6911	3	155.5	181,648,750	184558328
IDP6912	1	110.6	49,195,399	49599900
IDP6913	6	47.9	110,783,647	111053739
IDP6914	6	112.4	156,123,467	160260470
IDP6915	6	64.6	119,164,255	123082898
IDP6916	9	75.7	61,154,282	68999150
IDP6917	1	226	203,565,604	206384030
IDP6918	1	318.6	269,112,855	273831210
IDP6919	9	133.2	143,174,023	145899635
IDP692	3	106.5	134,951,671	135630602
IDP6920	7	182	163,685,379	169199773
IDP6922	7	162.2	160,137,790	165618795
IDP6924	5	191.7	204,518,772	209974260
IDP6925	4	252.4	240,618,792	246132855
IDP6926	9	121.1	140,184,968	142854077
IDP6927	9	121.1	140,891,242	143578892
IDP6928	1	278.2	243,404,931	247061135
IDP6929	3	244	219,843,427	223535104
IDP6931	1	159	154,314,804	156209591
IDP6932	5	93.2	30,951,953	31927688
IDP6933	9	82	99,020,059	102441492
IDP6936	2	129.8	147,300,485	151883207
IDP6937	7	148.3	156,737,383	162171374
IDP6938	5	127	168,521,802	172490749
IDP6939	5	145.5	183,150,140	187810529
IDP6940	3	185.2	195,933,654	198914371
IDP6942	8	88.5	101,408,509	103455675
IDP6943	6	36.8	104,105,363	107437368
IDP6944	8	18.1	4,805,115	4966571
IDP6946	3	101.3	87,783,199	111440246
IDP6947	2	3.8	1,542,466	1537425
IDP6948	1	159	157,173,623	159063304
IDP6949	3	75.7	13,389,099	12673906
IDP6950	3	220.3	211,982,173	215651697
IDP6952	4	202.9	231,478,945	236548545
IDP6953	10	50	16,518,917	16726715
IDP6955	7	90.6	36,866,623	38144220
IDP6956	9	78	95,445,885	98839054
IDP6958	6	73.9	131,831,141	135895195
IDP6964	4	136.7	169,548,566	172524922
IDP6965	4	189.9	210,751,291	214198746
IDP6968	1	317.9	270,354,056	275161675
IDP6969	7	77.4	13,208,380	13730025
IDP6971	2	2.1	1,271,036	1252018
IDP6972	6	13.7	7,158,487	7521112
IDP6974	2	115.4	44,387,815	46243697
IDP6975	1	164.8	165,083,322	166756411
IDP6976	1	70.5	25,168,672	25563902
IDP6978	3	250.6	222,568,175	226310181
IDP6980	7	103.3	127,969,663	131951840
IDP6981	5	92.4	27,394,480	28088096
IDP6982	8	93.1	108,168,414	110625489
IDP6983	6	32.7	96,553,755	99407752
IDP6985	2	193.6	217,336,227	224113985
IDP6986	2	158.3	196,540,942	202917335
IDP7001	8	75.2	29,983,887	30992163
IDP7010	10	54.9	74,238,736	73445372
IDP7012	9	76.4	82,993,036	86276190
IDP7014	2	129	97,109,522	99993212
IDP7015	6	13.7	13,114,889	22740794
IDP7016	6	36.8	102,627,322	105873453
IDP7017	6	32.7	95,608,881	98444410
IDP7018	5	106.9	61,529,830	63350591
IDP702	9	101.9	133,479,727	135867656
IDP7024	10	56.8	74,440,506	73673050
IDP7027	4	24.2	4,076,268	4808587
IDP7029	9	76.4	78,122,318	81227773
IDP703	3	3.6	2,082,087	1405735
IDP7035	3	147.3	177,494,716	180269658
IDP7036	4	135.7	167,069,951	170025321
IDP7037	4	209.6	235,208,769	240415992
IDP7039	3	103.7	119,643,270	119835673
IDP7040	7	50.1	5,522,566	5841457
IDP705	7	212.9	169,963,310	175559871
IDP706	8	194.2	173,033,975	178309525
IDP707	1	272.1	238,606,374	242190419
IDP708	9	104.3	136,017,208	138531830
IDP709	9	76.4	87,061,134	90421353
IDP710	6	64.6	123,080,138	126949812
IDP712	2	63.2	16,301,559	16716759
IDP713	4	43	5,417,621	6185219
IDP7152	2	110.3	41,732,100	43541448
IDP7154	8	155.7	166,893,092	172131001
IDP7155	6	148.6	163,628,528	167832847
IDP7156	3	14	2,813,415	2050439
IDP7157	2	20.6	4,511,541	4478925
IDP7158	10	60.7	80,670,844	80086590
IDP7159	3	223.9	212,178,931	215850603
IDP716	1	226.3	204,867,162	207697908
IDP7161	2	117.6	51,438,515	53480592
IDP7162	3	263.5	226,973,851	230884828
IDP7166	3	187	198,787,459	201862343
IDP7167	10	52.5	26,090,851	26723390
IDP7168	1	101.3	41,537,201	41899265
IDP7169	1	55.7	17,782,714	18086129
IDP717	9	78.7	89,969,800	93329783
IDP7171	4	90.6	30,925,407	32382867
IDP7172	4	179.5	192,728,073	197046746
IDP7173	2	88.8	20,791,953	22127091
IDP7174	7	91	46,299,867	47836727
IDP7175	1	246.4	216,687,850	219869249
IDP7176	2	138	164,879,726	169610273
IDP7178	1	158.4	115,180,663	116773817
IDP7179	2	129.8	146,018,348	150581677
IDP7180	6	148.6	163,420,533	167624150
IDP7182	7	93.6	104,755,450	108010434
IDP7183	2	91.4	21,502,342	22816926
IDP7184	2	176.9	208,849,612	215639428
IDP7185	2	213.1	224,915,102	231911370
IDP7186	1	152.4	94,873,314	97098143
IDP7187	10	146.2	148,105,248	148917107
IDP7188	9	109.6	136,903,576	139510270
IDP7189	2	95.3	22,229,519	23520439
IDP7190	3	229.5	216,986,199	220577954
IDP7193	8	30	8,282,031	8619297
IDP7194	7	103.3	126,514,957	130460495
IDP7195	3	106.5	133,787,488	134447217
IDP7197	7	208.9	168,470,543	174007066
IDP7198	8	181.7	171,590,132	176834191
IDP7199	7	90.6	32,631,935	33878399
IDP7200	1	196.7	193,319,664	195674687
IDP7202	1	291.5	252,259,857	256421964
IDP7203	5	168.1	192,702,008	198084637
IDP7206	2	248.2	235,344,091	243390630
IDP7207	6	64.6	121,537,305	125464268
IDP7208	3	100	60,641,963	60678123
IDP7209	2	240.7	234,413,672	241688913
IDP7210	10	91.4	138,298,559	139605809
IDP7211	5	25.1	4,258,508	4369247
IDP7214	8	123.5	160,298,689	165204468
IDP7216	3	98.3	56,899,921	56853909
IDP7218	5	121.8	156,134,929	159957240
IDP7219	5	193.9	204,896,717	210528774
IDP722	5	122.5	163,897,310	167774797
IDP7220	8	112.7	134,842,771	138775784
IDP7221	1	175.3	179,989,566	181978949
IDP7222	1	311.4	263,205,925	268080092
IDP7224	8	108.5	126,077,220	129920432
IDP7226	1	66.5	23,604,671	24000468
IDP7227	5	162.8	189,399,427	194476871
IDP7228	8	70.7	22,977,640	23705513
IDP7229	4	96.5	39,331,693	41059599
IDP7232	4	90.6	26,892,826	28421715
IDP7233	3	94.4	35,666,616	35357082
IDP7238	1	77.5	29,511,735	29784714
IDP7239	1	226.3	204,801,126	207636486
IDP7240	2	110.3	42,065,703	43901105
IDP7244	2	170.7	206,710,010	213556734
IDP7245	2	54.5	13,851,414	14155211
IDP7246	4	110.6	70,354,076	73084743
IDP7247	10	68.8	119,412,910	120429830
IDP7248	6	45.2	110,385,864	110619717
IDP7250	8	128.5	161,710,324	166711815
IDP7251	3	192.5	200,189,710	203547332
IDP7252	7	170.8	161,803,643	167275847
IDP7253	10	45.8	14,498,282	14653395
IDP7254	3	92.3	31,448,482	31042732
IDP7255	1	275.6	241,405,431	245053936
IDP7256	2	178.3	210,747,516	217563248
IDP7259	4	63.6	12,443,778	13346357
IDP7261	1	141.7	76,338,129	77838390
IDP7264	9	23.9	8,194,864	7775443
IDP7265	4	108.3	71,064,647	73776624
IDP7267	3	250.2	221,619,942	225386579
IDP7268	4	92.2	34,928,812	36558211
IDP7269	1	258.2	229,896,782	233438213
IDP7270	4	71.1	17,417,766	18567066
IDP7271	7	2.6	1,194,338	1299958
IDP7273	3	132.8	166,251,324	168875573
IDP7274	7	86	20,856,919	21890242
IDP7275	1	176.8	180,818,297	182808047
IDP7277	7	137.8	150,888,838	156202858
IDP7280	1	196.7	193,255,075	195615543
IDP7281	3	96.9	44,226,533	43705092
IDP7282	6	6.1	6,016,043	5769702
IDP7283	9	82.5	102,961,559	106506854
IDP7284	8	108.5	133,561,516	137533473
IDP7285	3	137.3	171,430,041	174086696
IDP7286	1	369.7	293,997,316	299503746
IDP7287	8	99.7	119,035,106	122037575
IDP7288	4	174.3	191,044,122	195247258
IDP7289	1	251	222,549,253	225932340
IDP7290	1	55.7	16,369,514	16743502
IDP7291	1	103.5	41,238,467	41590398
IDP7292	2	147.2	187,880,418	193504878
IDP7296	8	180.2	171,150,479	176388104
IDP7298	9	79.4	96,188,101	99599549
IDP7299	2	52.6	12,341,407	12641367
IDP73	3	142.9	173,015,455	175449751
IDP7300	4	182.4	194,213,917	198518774
IDP7303	3	95.5	40,446,035	40036979
IDP7306	4	162.1	181,417,057	184360235
IDP7309	2	117.6	57,064,804	59142151
IDP7310	1	158.4	151,675,690	153655128
IDP7311	7	90.6	78,783,794	81479359
IDP7312	10	72.1	123,810,627	124858587
IDP7313	1	297.2	253,279,003	258853137
IDP7315	6	64.6	120,879,883	124874170
IDP7316	7	148.3	157,471,090	162878269
IDP7317	2	182.4	213,097,007	219892578
IDP7318	10	62.9	87,132,849	87264974
IDP7319	3	169.5	187,709,476	190624375
IDP732	2	202	222,275,124	229260190
IDP7320	8	112.7	137,467,680	141520105
IDP7321	6	75.6	137,858,893	142180268
IDP7323	5	133.8	172,809,026	176929521
IDP7324	3	95.5	43,225,374	42674451
IDP7326	1	263.8	231,719,256	235337114
IDP7327	9	109.6	138,232,769	140825167
IDP7328	4	204	233,213,824	238370576
IDP7329	9	61.9	20,693,173	20479853
IDP733	4	194.6	217,521,398	221656677
IDP7330	4	181.7	197,363,120	201661228
IDP7331	8	176.3	170,292,800	175526719
IDP7332	6	79.5	143,129,111	147215922
IDP7333	1	226.8	204,756,764	207589987
IDP7335	2	16.1	3,696,110	3716806
IDP7336	10	30.2	5,872,909	5603232
IDP7337	8	99.7	119,905,892	122947075
IDP7339	7	91	95,096,018	98094309
