Type	chr	start	stop	q-value	mean_methylation_difference	CpGs	p_MWU	p_2D_KS	POPA	POPB	Compare
CG	1	129828546	129829765	7.00E-153	0.565116	75	2.80E-14	6.20E-159	0.63865	0.073534	Teosinte/Maize
CG	1	130306823	130307623	4.70E-86	-0.627572	30	6.10E-14	4.20E-92	0.27367	0.90125	Teosinte/Maize
CG	1	130473811	130474366	9.60E-46	-0.442372	31	3.70E-14	8.60E-52	0.33541	0.77778	Teosinte/Maize
CG	1	130576248	130577147	1.90E-41	-0.412095	30	4.60E-14	1.70E-47	0.42533	0.83742	Teosinte/Maize
CG	1	130926448	130926768	6.70E-53	0.550477	19	4.00E-14	5.90E-59	0.69785	0.14737	Teosinte/Maize
CG	1	131051383	131051539	4.00E-19	-0.614953	8	4.90E-14	3.60E-25	0.2205	0.83545	Teosinte/Maize
CG	1	135668406	135668949	2.80E-83	0.817325	21	5.20E-14	2.50E-89	0.86341	0.04609	Teosinte/Maize
CG	1	137256138	137256333	2.10E-13	0.534197	10	4.60E-14	1.90E-19	0.90608	0.37188	Teosinte/Maize
CG	1	137652238	137652317	2.30E-22	0.732516	8	4.30E-14	2.00E-28	0.9401	0.20758	Teosinte/Maize
CG	1	139367230	139367635	1.00E-59	0.846393	15	3.10E-14	9.00E-66	0.87401	0.027619	Teosinte/Maize
CG	1	139460699	139460952	1.20E-19	0.655309	9	5.10E-14	1.00E-25	0.88457	0.22927	Teosinte/Maize
CG	1	139679173	139679888	1.60E-30	-0.460576	16	4.10E-14	1.40E-36	0.37204	0.83262	Teosinte/Maize
CG	1	140038533	140039212	2.30E-119	0.890617	27	3.90E-14	2.00E-125	0.89556	0.0049409	Teosinte/Maize
CG	1	140271065	140271322	1.60E-38	-0.764645	10	4.70E-14	1.40E-44	0.10848	0.87313	Teosinte/Maize
CG	1	140851632	140851811	1.30E-17	0.581118	8	4.30E-14	1.10E-23	0.75742	0.1763	Teosinte/Maize
CG	1	145825452	145825795	1.40E-10	0.554445	8	4.70E-14	1.20E-16	0.8711	0.31666	Teosinte/Maize
CG	1	147283442	147283904	2.70E-17	0.594776	8	4.30E-14	2.40E-23	0.88383	0.28905	Teosinte/Maize
CG	1	147358586	147359133	1.20E-19	-0.501452	12	4.20E-14	1.10E-25	0.21507	0.71652	Teosinte/Maize
CG	1	148266769	148266879	1.30E-13	0.433651	9	4.50E-14	1.20E-19	0.56501	0.13136	Teosinte/Maize
CG	1	148438548	148438802	4.80E-46	0.844351	11	3.90E-14	4.30E-52	0.87341	0.029055	Teosinte/Maize
CG	1	155197993	155198503	2.30E-27	0.629992	12	4.20E-14	2.00E-33	0.86772	0.23772	Teosinte/Maize
CG	1	156404817	156404944	1.70E-05	-0.419859	8	2.80E-12	1.50E-11	0.27963	0.69949	Teosinte/Maize
CG	1	156585603	156585994	9.40E-23	0.654343	9	4.20E-14	8.30E-29	0.87366	0.21932	Teosinte/Maize
CG	1	156677247	156677418	3.00E-08	0.443261	10	4.50E-14	2.70E-14	0.89443	0.45117	Teosinte/Maize
CG	1	159291604	159292245	4.00E-29	0.587914	11	4.50E-14	3.60E-35	0.67971	0.091791	Teosinte/Maize
CG	1	164215919	164216311	5.90E-19	-0.569991	9	3.80E-14	5.30E-25	0.31028	0.88027	Teosinte/Maize
CG	1	164218433	164218586	1.30E-03	0.427711	8	8.40E-14	1.20E-09	0.8269	0.39919	Teosinte/Maize
CG	1	164365874	164366014	3.10E-35	0.501359	17	3.70E-14	2.70E-41	0.62195	0.12059	Teosinte/Maize
CG	1	164578078	164578458	9.60E-04	-0.423974	8	7.30E-08	8.60E-10	0.26472	0.6887	Teosinte/Maize
CG	1	166625215	166625937	2.50E-64	-0.5516	29	3.90E-14	2.20E-70	0.22973	0.78132	Teosinte/Maize
CG	1	170171141	170171304	3.90E-27	0.687885	8	4.70E-14	3.50E-33	0.75258	0.064699	Teosinte/Maize
CG	1	170185282	170185524	5.90E-49	0.514991	17	4.60E-14	5.30E-55	0.52282	0.0078248	Teosinte/Maize
CG	1	170397959	170398457	1.90E-114	0.88464	25	2.40E-14	1.70E-120	0.89883	0.014187	Teosinte/Maize
CG	1	175982994	175983352	1.70E-31	-0.516443	19	4.40E-14	1.50E-37	0.30524	0.82169	Teosinte/Maize
CG	1	176782820	176782972	3.10E-11	-0.448881	11	4.10E-14	2.70E-17	0.33158	0.78046	Teosinte/Maize
CG	1	177821906	177822367	2.70E-17	0.436904	10	4.30E-14	2.40E-23	0.45397	0.017062	Teosinte/Maize
CG	1	179512821	179512997	6.00E-14	0.521742	8	4.70E-14	5.30E-20	0.64391	0.12217	Teosinte/Maize
CG	1	180687584	180688045	4.40E-31	0.656173	12	4.40E-14	3.90E-37	0.86348	0.2073	Teosinte/Maize
CG	1	182828637	182828833	1.00E-13	-0.485887	10	4.40E-14	9.10E-20	0.20077	0.68666	Teosinte/Maize
CG	1	183244094	183244507	1.30E-59	-0.504262	34	4.80E-14	1.10E-65	0.088069	0.59233	Teosinte/Maize
CG	1	183531347	183532293	6.10E-17	0.471911	18	3.90E-14	5.50E-23	0.92896	0.45705	Teosinte/Maize
CG	1	185476806	185477273	2.70E-43	0.519719	18	5.10E-14	2.40E-49	0.5815	0.061784	Teosinte/Maize
CG	1	185477986	185478310	9.60E-61	0.472453	24	4.10E-14	8.50E-67	0.477	0.0045445	Teosinte/Maize
CG	1	186736763	186737717	1.10E-56	0.492472	34	5.10E-14	9.40E-63	0.79429	0.30181	Teosinte/Maize
CG	1	190556939	190557386	2.60E-29	-0.408516	14	4.00E-14	2.30E-35	0.48676	0.89528	Teosinte/Maize
CG	1	192127373	192127535	6.00E-13	0.452695	12	4.10E-14	5.30E-19	0.73867	0.28598	Teosinte/Maize
CG	1	192995896	192996080	4.80E-10	-0.414493	9	4.60E-14	4.30E-16	0.26714	0.68164	Teosinte/Maize
CG	1	193316951	193317128	4.00E-07	-0.412495	9	4.30E-14	3.60E-13	0.15368	0.56617	Teosinte/Maize
CG	1	193699506	193699932	1.80E-30	-0.580765	15	3.70E-14	1.60E-36	0.17314	0.7539	Teosinte/Maize
CG	1	195673064	195673272	3.10E-16	-0.518759	8	4.60E-14	2.70E-22	0.19359	0.71235	Teosinte/Maize
CG	1	210710821	210711227	4.30E-35	0.552674	18	4.20E-14	3.80E-41	0.88	0.32732	Teosinte/Maize
CG	1	214773234	214773351	2.30E-37	0.771251	9	4.80E-14	2.00E-43	0.78147	0.010215	Teosinte/Maize
CG	1	215322236	215322824	6.50E-15	-0.44946	16	4.10E-14	5.80E-21	0.15772	0.60718	Teosinte/Maize
CG	1	221570226	221570573	3.90E-17	-0.479091	11	4.40E-14	3.50E-23	0.33364	0.81273	Teosinte/Maize
CG	1	221624159	221624311	4.80E-16	-0.484794	13	4.50E-14	4.30E-22	0.076232	0.56103	Teosinte/Maize
CG	1	221759702	221760056	5.80E-10	-0.440695	9	4.40E-14	5.10E-16	0.48279	0.92348	Teosinte/Maize
CG	1	223058854	223059514	6.10E-41	-0.465149	27	4.80E-14	5.40E-47	0.32507	0.79022	Teosinte/Maize
CG	1	223973476	223973597	5.10E-25	0.63267	11	4.50E-14	4.50E-31	0.80727	0.1746	Teosinte/Maize
CG	1	226882793	226883161	2.30E-28	-0.509476	14	3.60E-14	2.10E-34	0.2679	0.77738	Teosinte/Maize
CG	1	229716319	229716570	5.70E-04	0.421482	9	4.50E-14	5.00E-10	0.92328	0.5018	Teosinte/Maize
CG	1	230246469	230247171	2.60E-04	0.418456	9	4.30E-14	2.30E-10	0.90745	0.48899	Teosinte/Maize
CG	1	231207383	231207576	6.00E-03	-0.404994	8	8.60E-08	5.30E-09	0.061574	0.46657	Teosinte/Maize
CG	1	233408342	233408664	1.10E-96	0.916484	21	4.50E-14	1.00E-102	0.92108	0.0046007	Teosinte/Maize
CG	1	233441655	233441863	4.50E-08	0.42952	10	4.50E-14	4.00E-14	0.85645	0.42693	Teosinte/Maize
CG	1	235475336	235475533	1.40E-24	0.598281	11	4.50E-14	1.30E-30	0.77697	0.17869	Teosinte/Maize
CG	1	235508445	235509301	1.50E-94	0.740173	26	5.00E-14	1.30E-100	0.88177	0.1416	Teosinte/Maize
CG	1	238043927	238044272	6.50E-14	0.471053	9	4.20E-14	5.80E-20	0.86216	0.3911	Teosinte/Maize
CG	1	238131236	238131602	2.70E-90	0.606395	32	4.80E-14	2.40E-96	0.61237	0.0059791	Teosinte/Maize
CG	1	238135354	238135612	1.00E-24	0.648241	11	4.10E-14	9.10E-31	0.88879	0.24055	Teosinte/Maize
CG	1	238555896	238556287	1.80E-07	0.487559	8	4.10E-14	1.60E-13	0.90544	0.41788	Teosinte/Maize
CG	1	239713133	239713309	5.60E-39	0.826192	9	4.90E-14	5.00E-45	0.84552	0.019328	Teosinte/Maize
CG	1	240308497	240308658	1.80E-08	0.505792	8	4.30E-14	1.60E-14	0.91338	0.40759	Teosinte/Maize
CG	1	240309005	240310057	1.50E-32	0.438585	34	3.60E-14	1.30E-38	0.86026	0.42167	Teosinte/Maize
CG	1	240613201	240613434	7.80E-20	0.680769	9	4.70E-14	6.90E-26	0.92221	0.24144	Teosinte/Maize
CG	1	243593035	243593448	1.10E-35	-0.5696	17	3.80E-14	9.40E-42	0.26195	0.83155	Teosinte/Maize
CG	1	243747438	243747716	2.50E-04	0.442719	8	6.00E-14	2.20E-10	0.90157	0.45885	Teosinte/Maize
CG	1	244453885	244454041	1.80E-20	0.48791	12	5.10E-14	1.60E-26	0.56844	0.080529	Teosinte/Maize
CG	1	245196302	245196711	5.70E-34	0.576389	17	4.80E-14	5.10E-40	0.75434	0.17795	Teosinte/Maize
CG	1	245197046	245197502	7.70E-14	0.62452	8	4.10E-14	6.80E-20	0.89472	0.2702	Teosinte/Maize
CG	1	246988631	246989240	1.60E-30	-0.438551	23	3.70E-14	1.40E-36	0.20161	0.64016	Teosinte/Maize
CG	1	247123214	247123407	2.00E-45	0.849219	10	5.00E-14	1.80E-51	0.85543	0.0062111	Teosinte/Maize
CG	1	247461231	247461761	8.20E-53	0.708238	20	3.60E-14	7.30E-59	0.88212	0.17388	Teosinte/Maize
CG	1	248460330	248460850	4.60E-15	0.512285	9	4.50E-14	4.10E-21	0.77577	0.26348	Teosinte/Maize
CG	1	248987147	248987376	3.60E-10	-0.420103	12	4.50E-14	3.20E-16	0.099543	0.51965	Teosinte/Maize
CG	1	250956157	250956929	1.50E-22	-0.534626	14	4.90E-14	1.40E-28	0.27591	0.81054	Teosinte/Maize
CG	1	251438169	251438409	2.40E-29	0.699715	9	4.10E-14	2.10E-35	0.7226	0.022886	Teosinte/Maize
CG	1	251630023	251630143	1.60E-03	0.432845	8	4.50E-14	1.40E-09	0.88655	0.4537	Teosinte/Maize
CG	1	251922617	251923060	3.40E-04	0.406702	8	3.00E-12	3.00E-10	0.83529	0.42859	Teosinte/Maize
CG	1	254525378	254525718	2.90E-44	0.816027	11	5.10E-14	2.60E-50	0.83217	0.016144	Teosinte/Maize
CG	1	258231511	258231896	2.70E-33	0.814907	8	4.90E-14	2.40E-39	0.83157	0.016663	Teosinte/Maize
CG	1	259334938	259335211	1.80E-17	-0.507716	10	3.90E-14	1.60E-23	0.2883	0.79602	Teosinte/Maize
CG	1	259921997	259922381	7.60E-09	0.460575	19	3.00E-12	6.70E-15	0.82726	0.45672	Teosinte/Maize
CG	1	259924721	259924960	1.20E-07	0.485668	9	4.20E-14	1.10E-13	0.87118	0.38551	Teosinte/Maize
CG	1	260859855	260860127	4.40E-65	0.698221	17	4.70E-14	3.90E-71	0.7408	0.042579	Teosinte/Maize
CG	1	262570959	262571091	1.00E-10	-0.40727	9	4.60E-14	9.20E-17	0.33572	0.74299	Teosinte/Maize
CG	1	267356793	267357099	2.10E-15	0.439177	13	4.50E-14	1.90E-21	0.80604	0.36687	Teosinte/Maize
CG	1	269309531	269309978	6.90E-82	-0.735312	21	3.60E-14	6.10E-88	0.033733	0.76905	Teosinte/Maize
CG	1	270512522	270513049	6.20E-55	0.795901	15	4.00E-14	5.50E-61	0.8379	0.042	Teosinte/Maize
CG	1	271787453	271788079	5.90E-27	0.757378	8	3.80E-14	5.20E-33	0.79539	0.038007	Teosinte/Maize
CG	1	272130321	272131352	2.90E-52	-0.72264	17	5.80E-14	2.60E-58	0.15656	0.8792	Teosinte/Maize
CG	1	272677980	272678680	1.10E-16	-0.404063	14	4.20E-14	1.00E-22	0.24306	0.64713	Teosinte/Maize
CG	1	278895434	278898312	4.70E-135	0.694685	46	1.90E-14	4.10E-141	0.77953	0.084849	Teosinte/Maize
CG	1	279611251	279611374	3.00E-37	0.845589	9	3.80E-14	2.70E-43	0.8554	0.0098075	Teosinte/Maize
CG	1	280418351	280418926	2.60E-30	0.617119	11	4.20E-14	2.30E-36	0.63213	0.015009	Teosinte/Maize
CG	1	284753189	284753269	7.50E-07	-0.427582	8	4.30E-14	6.60E-13	0.12298	0.55056	Teosinte/Maize
CG	1	287657346	287657607	4.10E-27	-0.465469	19	4.30E-14	3.60E-33	0.13906	0.60453	Teosinte/Maize
CG	1	289761107	289761690	1.90E-27	0.786592	8	5.10E-14	1.70E-33	0.8518	0.065204	Teosinte/Maize
CG	1	291515812	291515961	1.00E-16	-0.552226	11	4.80E-14	9.30E-23	0.056558	0.60878	Teosinte/Maize
CG	1	295311373	295311897	3.50E-39	0.766765	13	4.00E-14	3.10E-45	0.92519	0.15843	Teosinte/Maize
CG	1	296072436	296073389	6.40E-43	0.543909	22	4.50E-14	5.70E-49	0.84397	0.30006	Teosinte/Maize
CG	1	300443518	300444095	2.30E-14	-0.400966	17	4.00E-14	2.00E-20	0.18471	0.58568	Teosinte/Maize
CG	1	300926179	300926355	1.00E-10	-0.412002	8	4.10E-14	8.90E-17	0.31496	0.72696	Teosinte/Maize
CG	1	302626894	302627153	9.90E-15	0.590026	8	4.10E-14	8.80E-21	0.81442	0.22439	Teosinte/Maize
CG	1	302627483	302628005	2.30E-132	0.704578	47	4.30E-14	2.10E-138	0.91663	0.21205	Teosinte/Maize
CG	1	303001118	303001175	1.00E-17	0.658493	8	4.30E-14	9.30E-24	0.8488	0.1903	Teosinte/Maize
CG	1	306081823	306082162	2.80E-10	-0.41231	11	4.50E-14	2.50E-16	0.16654	0.57885	Teosinte/Maize
CG	2	69383	69900	1.00E-27	0.58012	13	4.70E-14	9.20E-34	0.66561	0.085485	Teosinte/Maize
CG	2	99027	99137	1.60E-36	0.911822	9	4.80E-14	1.40E-42	0.91634	0.0045218	Teosinte/Maize
CG	2	209001	209216	1.40E-08	0.450936	9	4.70E-14	1.20E-14	0.79491	0.34398	Teosinte/Maize
CG	2	640821	641345	3.30E-38	0.870641	9	4.30E-14	3.00E-44	0.88766	0.017019	Teosinte/Maize
CG	2	936506	936873	3.20E-43	-0.543755	20	4.90E-14	2.80E-49	0.19386	0.73761	Teosinte/Maize
CG	2	2043972	2044410	1.70E-17	-0.553658	10	4.80E-14	1.50E-23	0.15299	0.70665	Teosinte/Maize
CG	2	2265465	2265628	1.50E-05	0.438372	9	4.80E-14	1.40E-11	0.86026	0.42189	Teosinte/Maize
CG	2	2507203	2507586	5.70E-40	0.679183	13	3.70E-14	5.00E-46	0.72531	0.046128	Teosinte/Maize
CG	2	2637105	2637310	1.40E-50	0.419969	20	5.70E-14	1.30E-56	0.57202	0.15205	Teosinte/Maize
CG	2	3570307	3570545	2.80E-06	-0.403099	8	4.90E-14	2.50E-12	0.2761	0.6792	Teosinte/Maize
CG	2	5035591	5035882	1.60E-12	0.554466	8	4.30E-14	1.40E-18	0.78334	0.22887	Teosinte/Maize
CG	2	8776968	8777319	8.60E-24	0.409103	14	3.80E-14	7.60E-30	0.41664	0.0075418	Teosinte/Maize
CG	2	9304275	9304449	4.10E-09	-0.445312	8	4.60E-14	3.60E-15	0.059641	0.50495	Teosinte/Maize
CG	2	10768947	10769931	2.20E-20	-0.469268	16	3.80E-14	2.00E-26	0.1503	0.61957	Teosinte/Maize
CG	2	11712044	11712252	5.60E-33	0.633533	12	4.50E-14	5.00E-39	0.78088	0.14735	Teosinte/Maize
CG	2	17578228	17578489	1.40E-36	0.883065	8	5.00E-14	1.30E-42	0.88306	5.36E-08	Teosinte/Maize
CG	2	17681610	17681803	2.20E-31	0.743274	10	3.90E-14	2.00E-37	0.86312	0.11984	Teosinte/Maize
CG	2	17745007	17745397	6.70E-17	-0.457753	14	4.70E-14	5.90E-23	0.057191	0.51494	Teosinte/Maize
CG	2	18454106	18454749	2.10E-34	0.435937	14	3.90E-14	1.80E-40	0.46579	0.029853	Teosinte/Maize
CG	2	19423196	19424128	1.00E-21	-0.469978	17	4.20E-14	9.00E-28	0.084881	0.55486	Teosinte/Maize
CG	2	20252478	20252938	2.90E-55	0.780964	15	4.60E-14	2.60E-61	0.84857	0.067606	Teosinte/Maize
CG	2	20343544	20344183	2.50E-96	0.823869	22	3.30E-14	2.20E-102	0.83117	0.0073037	Teosinte/Maize
CG	2	25252573	25252759	3.40E-06	-0.403255	10	5.50E-10	3.00E-12	0.09688	0.50013	Teosinte/Maize
CG	2	25295590	25296205	1.20E-30	0.763503	10	4.00E-14	1.10E-36	0.91726	0.15375	Teosinte/Maize
CG	2	26281925	26282343	1.20E-45	0.641763	15	4.10E-14	1.10E-51	0.66065	0.018892	Teosinte/Maize
CG	2	26840253	26840823	6.20E-65	0.523705	28	4.90E-14	5.50E-71	0.62715	0.10345	Teosinte/Maize
CG	2	26844518	26845253	7.90E-115	0.51167	39	2.40E-14	7.00E-121	0.61477	0.1031	Teosinte/Maize
CG	2	28206412	28206992	3.70E-16	0.456959	13	3.80E-14	3.30E-22	0.74861	0.29165	Teosinte/Maize
CG	2	28296938	28297058	1.90E-22	0.72314	10	4.10E-14	1.70E-28	0.95095	0.22781	Teosinte/Maize
CG	2	34231852	34232405	2.20E-87	-0.714461	24	5.50E-14	2.00E-93	0.17991	0.89437	Teosinte/Maize
CG	2	35979131	35979301	1.80E-37	0.819347	11	4.20E-14	1.60E-43	0.8989	0.07955	Teosinte/Maize
CG	2	36775667	36775995	6.50E-09	-0.421959	8	4.20E-14	5.80E-15	0.4021	0.82406	Teosinte/Maize
CG	2	37080418	37080967	2.30E-09	0.491202	8	4.40E-14	2.10E-15	0.8079	0.31669	Teosinte/Maize
CG	2	37117817	37118127	1.60E-19	0.522475	15	4.20E-14	1.40E-25	0.90966	0.38718	Teosinte/Maize
CG	2	37352615	37353032	3.50E-68	0.730208	15	3.80E-14	3.10E-74	0.7401	0.0098947	Teosinte/Maize
CG	2	50415045	50415763	9.30E-43	0.408175	21	5.00E-14	8.30E-49	0.45181	0.04363	Teosinte/Maize
CG	2	51341180	51341490	1.80E-06	-0.401723	9	4.90E-12	1.60E-12	0.18913	0.59085	Teosinte/Maize
CG	2	53327961	53328200	1.40E-13	-0.444811	10	4.30E-14	1.30E-19	0.35846	0.80327	Teosinte/Maize
CG	2	53963567	53963751	2.80E-21	-0.609165	11	5.00E-14	2.50E-27	0.10176	0.71093	Teosinte/Maize
CG	2	56080148	56080377	1.50E-19	0.505382	10	4.70E-14	1.30E-25	0.78346	0.27808	Teosinte/Maize
CG	2	59796523	59796756	1.10E-24	-0.675068	9	4.50E-14	9.70E-31	0.020204	0.69527	Teosinte/Maize
CG	2	65460476	65460559	8.40E-05	-0.403989	10	1.10E-05	7.40E-11	0.085225	0.48921	Teosinte/Maize
CG	2	68951834	68952160	5.90E-25	0.437623	19	3.80E-14	5.30E-31	0.79431	0.35669	Teosinte/Maize
CG	2	69410021	69410505	7.80E-09	0.499153	8	4.10E-14	7.00E-15	0.86761	0.36845	Teosinte/Maize
CG	2	69418067	69418319	4.90E-12	0.426957	16	4.10E-14	4.30E-18	0.90783	0.48087	Teosinte/Maize
CG	2	71777281	71777740	9.30E-51	-0.691994	15	3.40E-14	8.20E-57	0.17875	0.87074	Teosinte/Maize
CG	2	75237591	75237890	5.60E-20	0.482992	10	4.20E-14	5.00E-26	0.56688	0.08389	Teosinte/Maize
CG	2	76138987	76139497	7.50E-26	-0.432228	19	4.70E-14	6.60E-32	0.45624	0.88847	Teosinte/Maize
CG	2	79799228	79799380	4.10E-16	0.532598	9	4.20E-14	3.60E-22	0.76822	0.23562	Teosinte/Maize
CG	2	79868732	79869052	2.10E-34	-0.613034	10	4.20E-14	1.90E-40	0.27383	0.88686	Teosinte/Maize
CG	2	79993970	79994636	2.60E-44	-0.43975	31	5.00E-14	2.30E-50	0.39881	0.83856	Teosinte/Maize
CG	2	84507761	84508077	2.80E-17	0.512202	9	4.30E-14	2.50E-23	0.61016	0.097961	Teosinte/Maize
CG	2	86024547	86024918	4.00E-25	0.635889	11	4.30E-14	3.60E-31	0.92558	0.28969	Teosinte/Maize
CG	2	86849228	86849466	1.00E-51	0.842496	13	3.40E-14	9.20E-58	0.91188	0.069385	Teosinte/Maize
CG	2	89206079	89206320	7.50E-31	0.441185	15	4.00E-14	6.60E-37	0.54826	0.10707	Teosinte/Maize
CG	2	90514564	90514774	4.10E-08	-0.44308	8	4.50E-14	3.70E-14	0.33103	0.77411	Teosinte/Maize
CG	2	92181088	92181363	7.00E-46	0.782524	13	4.50E-14	6.20E-52	0.91635	0.13382	Teosinte/Maize
CG	2	92181820	92182160	2.90E-30	0.810417	9	4.80E-14	2.50E-36	0.93319	0.12277	Teosinte/Maize
CG	2	92788901	92789905	4.70E-144	-0.577318	64	3.20E-14	4.20E-150	0.25622	0.83353	Teosinte/Maize
CG	2	92908358	92908759	9.90E-25	-0.427811	22	4.00E-14	8.80E-31	0.41771	0.84552	Teosinte/Maize
CG	2	93283605	93284071	3.20E-52	0.740999	14	5.40E-14	2.80E-58	0.8094	0.068401	Teosinte/Maize
CG	2	94282834	94283448	9.10E-49	0.482731	24	5.50E-14	8.00E-55	0.61387	0.13114	Teosinte/Maize
CG	2	95495020	95496816	1.30E-50	-0.582052	27	4.70E-14	1.10E-56	0.039956	0.62201	Teosinte/Maize
CG	2	95722678	95722969	2.20E-16	-0.434763	12	4.30E-14	2.00E-22	0.45024	0.88501	Teosinte/Maize
CG	2	98044677	98044843	1.10E-21	-0.470104	8	3.80E-14	9.50E-28	0.048556	0.51866	Teosinte/Maize
CG	2	98238477	98239044	4.90E-63	0.561551	22	4.70E-14	4.40E-69	0.68448	0.12293	Teosinte/Maize
CG	2	98239369	98239509	5.00E-24	0.484248	13	4.20E-14	4.50E-30	0.66624	0.18199	Teosinte/Maize
CG	2	98952065	98952224	5.70E-66	0.883762	15	3.10E-14	5.10E-72	0.90151	0.017752	Teosinte/Maize
CG	2	99680103	99680991	3.40E-53	0.460111	29	4.40E-14	3.00E-59	0.6091	0.14899	Teosinte/Maize
CG	2	99760981	99761331	1.90E-46	0.75895	14	5.70E-14	1.60E-52	0.81609	0.057137	Teosinte/Maize
CG	2	100170479	100171043	1.70E-64	0.763128	20	4.20E-14	1.50E-70	0.88382	0.12069	Teosinte/Maize
CG	2	101250277	101250410	5.20E-12	-0.566487	8	4.70E-14	4.60E-18	0.25081	0.8173	Teosinte/Maize
CG	2	101579167	101579524	1.70E-28	0.714588	9	4.50E-14	1.50E-34	0.78408	0.06949	Teosinte/Maize
CG	2	101769366	101770154	7.10E-98	0.704768	31	6.90E-14	6.30E-104	8.03E-01	0.098563	Teosinte/Maize
CG	2	103115707	103116084	2.30E-81	0.703126	24	3.10E-14	2.10E-87	0.70841	0.0052859	Teosinte/Maize
CG	2	104049639	104049946	4.40E-39	0.62334	21	5.70E-14	3.90E-45	0.93079	0.30745	Teosinte/Maize
CG	2	105061787	105062003	9.30E-42	0.771128	11	3.80E-14	8.30E-48	0.81405	0.042923	Teosinte/Maize
CG	2	105800260	105800698	1.10E-08	-0.403709	10	6.00E-14	9.80E-15	0.1905	0.59421	Teosinte/Maize
CG	2	106081719	106082435	1.20E-19	-0.413194	22	4.10E-14	1.10E-25	0.09962	0.51281	Teosinte/Maize
CG	2	106737593	106737732	1.70E-19	-0.528388	12	4.30E-14	1.50E-25	0.18875	0.71714	Teosinte/Maize
CG	2	114899759	114900415	3.40E-39	-0.44085	26	4.70E-14	3.00E-45	0.37846	0.81931	Teosinte/Maize
CG	2	116471662	116471924	3.70E-17	0.506092	13	3.90E-14	3.30E-23	0.79166	0.28556	Teosinte/Maize
CG	2	118781089	118781825	1.30E-118	0.771766	27	1.90E-14	1.10E-124	0.78166	0.0098913	Teosinte/Maize
CG	2	121938893	121939552	3.60E-114	0.805272	32	2.40E-14	3.20E-120	0.91392	0.10865	Teosinte/Maize
CG	2	123897843	123898134	6.90E-60	-0.66846	20	4.70E-14	6.10E-66	0.14502	0.81348	Teosinte/Maize
CG	2	124724002	124724605	6.00E-16	-0.403672	14	4.90E-14	5.30E-22	0.48375	0.88742	Teosinte/Maize
CG	2	126102576	126103626	5.70E-30	-0.409126	28	3.80E-14	5.00E-36	0.39377	0.8029	Teosinte/Maize
CG	2	126964951	126965535	7.90E-84	0.780196	25	5.40E-14	7.00E-90	0.90485	0.12466	Teosinte/Maize
CG	2	127606517	127607061	8.20E-27	0.635445	13	3.80E-14	7.30E-33	0.84002	0.20457	Teosinte/Maize
CG	2	127607529	127607738	2.40E-23	0.626119	10	4.30E-14	2.10E-29	0.85787	0.23175	Teosinte/Maize
CG	2	127764434	127764659	2.20E-14	0.421407	9	4.20E-14	1.90E-20	0.62002	0.19861	Teosinte/Maize
CG	2	128183587	128183798	1.50E-17	-0.475837	12	5.10E-14	1.30E-23	0.21166	0.68749	Teosinte/Maize
CG	2	128327041	128327191	4.60E-22	0.715663	9	4.00E-14	4.10E-28	0.89591	0.18025	Teosinte/Maize
CG	2	129008800	129009587	2.80E-48	-0.437761	31	4.10E-14	2.50E-54	0.27443	0.71219	Teosinte/Maize
CG	2	129078278	129078410	3.70E-21	-0.549479	11	4.20E-14	3.30E-27	0.28445	0.83393	Teosinte/Maize
CG	2	132182224	132182332	4.10E-15	0.589909	8	4.50E-14	3.70E-21	0.77681	0.1869	Teosinte/Maize
CG	2	133576251	133576764	2.60E-38	0.501595	18	4.10E-14	2.30E-44	0.66695	0.16535	Teosinte/Maize
CG	2	140018492	140018773	1.50E-59	0.494954	25	5.20E-14	1.40E-65	0.59372	0.098766	Teosinte/Maize
CG	2	140032838	140033060	3.80E-20	0.683131	8	4.40E-14	3.40E-26	0.9057	0.22257	Teosinte/Maize
CG	2	149384186	149384560	3.30E-31	0.811058	9	3.70E-14	2.90E-37	0.89716	0.086102	Teosinte/Maize
CG	2	157558904	157559189	3.10E-24	0.630452	11	4.20E-14	2.70E-30	0.9205	0.29005	Teosinte/Maize
CG	2	158135805	158135921	1.40E-06	-0.420429	9	1.00E-13	1.20E-12	0.12963	0.55006	Teosinte/Maize
CG	2	158879903	158880056	5.00E-62	0.853564	14	5.70E-14	4.40E-68	0.85708	0.0035164	Teosinte/Maize
CG	2	160581416	160581549	1.80E-31	0.707413	12	4.00E-14	1.60E-37	0.94274	0.23533	Teosinte/Maize
CG	2	161423387	161424311	5.60E-28	0.650631	9	3.80E-14	5.00E-34	0.72233	0.071694	Teosinte/Maize
CG	2	165940268	165940610	4.40E-16	-0.59244	8	4.50E-14	3.90E-22	0.094745	0.68718	Teosinte/Maize
CG	2	166115484	166116420	4.80E-36	0.443285	38	3.50E-14	4.20E-42	0.90202	0.45873	Teosinte/Maize
CG	2	173710823	173711485	2.30E-19	-0.442083	19	4.50E-14	2.00E-25	0.14086	0.58294	Teosinte/Maize
CG	2	178968927	178969119	3.20E-05	0.443782	8	4.30E-14	2.80E-11	0.88737	0.44358	Teosinte/Maize
CG	2	182856681	182857000	5.90E-22	0.546637	9	3.70E-14	5.20E-28	0.9125	0.36586	Teosinte/Maize
CG	2	184145673	184146222	4.30E-55	0.622977	17	5.00E-14	3.90E-61	0.92502	0.30204	Teosinte/Maize
