Type	chr	start	stop	q-value	mean_methylation_difference	#CpGs	p(MWU)	p(2D KS)	mean_Maize	mean_Lan	Compare
CHG	10	45784026	45784184	1.60E-09	0.459995	8	4.40E-14	1.90E-15	0.78419	0.3242	teosinte/landrace
CHG	10	51537554	51538526	3.10E-148	0.70849	42	2.30E-14	3.80E-154	0.80804	0.099552	teosinte/landrace
CHG	10	52261667	52261870	7.30E-40	0.874113	8	4.40E-14	9.00E-46	0.89473	0.020616	teosinte/landrace
CHG	10	53531613	53531734	5.80E-13	-0.460672	7	4.40E-14	7.10E-19	0.023513	0.48419	teosinte/landrace
CHG	10	60979167	60979387	6.80E-16	-0.449772	11	4.20E-14	8.30E-22	0.10749	0.55726	teosinte/landrace
CHG	10	64829794	64830310	6.20E-37	0.442415	17	4.30E-14	7.50E-43	0.54111	0.098691	teosinte/landrace
CHG	10	66573540	66573896	1.10E-26	-0.475837	19	4.20E-14	1.30E-32	0.24036	0.71619	teosinte/landrace
CHG	10	68648849	68649016	3.20E-14	0.512392	8	4.50E-14	3.90E-20	0.78362	0.27123	teosinte/landrace
CHG	10	74045915	74046071	5.10E-12	0.44864	7	4.30E-14	6.30E-18	0.77637	0.32773	teosinte/landrace
CHG	10	78334331	78334399	1.90E-18	-0.502653	8	4.20E-14	2.30E-24	0.099433	0.60209	teosinte/landrace
CHG	10	78334652	78334944	1.30E-17	-0.407633	13	3.70E-14	1.60E-23	0.24629	0.65392	teosinte/landrace
CHG	10	80322607	80323080	6.10E-21	0.429156	13	4.80E-14	7.40E-27	0.80182	0.37266	teosinte/landrace
CHG	10	86731175	86731277	4.80E-06	0.44822	7	4.50E-14	5.90E-12	0.7421	0.29388	teosinte/landrace
CHG	10	96653632	96653779	9.30E-11	0.425784	8	4.10E-14	1.10E-16	0.59471	0.16893	teosinte/landrace
CHG	10	100222259	100222485	4.60E-07	0.462479	6	4.10E-14	5.60E-13	0.85046	0.38798	teosinte/landrace
CHG	10	101502132	101502265	6.10E-30	0.757596	7	4.80E-14	7.40E-36	0.77391	0.016315	teosinte/landrace
CHG	10	102055309	102055600	1.40E-59	0.657478	15	3.70E-14	1.80E-65	0.66555	0.0080696	teosinte/landrace
CHG	10	102323894	102324043	9.20E-16	-0.411842	9	4.60E-14	1.10E-21	0.40376	0.8156	teosinte/landrace
CHG	10	105266615	105267130	2.30E-69	0.7404	15	5.20E-14	2.80E-75	0.7469	0.0065	teosinte/landrace
CHG	10	105636505	105637000	1.10E-09	-0.455487	8	4.50E-14	1.40E-15	0.41089	0.86638	teosinte/landrace
CHG	10	106763530	106763737	2.30E-09	-0.465783	8	4.10E-14	2.90E-15	0.27423	0.74002	teosinte/landrace
CHG	10	122249541	122250279	4.60E-99	0.539242	25	4.40E-14	5.60E-105	0.55127	0.012028	teosinte/landrace
CHG	10	130431170	130431249	2.00E-05	0.436272	6	4.70E-14	2.40E-11	0.74251	0.30624	teosinte/landrace
CHG	10	131549618	131549847	2.50E-53	0.8699	11	4.70E-14	3.10E-59	0.89557	0.025669	teosinte/landrace
CHG	10	139608327	139608427	1.40E-13	-0.562627	7	4.10E-14	1.70E-19	0.077238	0.63986	teosinte/landrace
CHG	10	143235061	143235175	2.70E-25	0.790954	6	5.00E-14	3.30E-31	0.79506	0.0041067	teosinte/landrace
CHG	10	147478993	147479228	3.90E-49	0.577499	21	6.00E-14	4.70E-55	0.83215	0.25465	teosinte/landrace
CHG	10	148279290	148279446	9.00E-30	0.505651	14	4.10E-14	1.10E-35	0.70551	0.19986	teosinte/landrace
CHH	1	131051158	131051324	3.90E-10	0.236357	10	4.40E-14	2.30E-16	0.26368	0.027321	teosinte/landrace
CHH	1	140038174	140038357	7.60E-21	-0.323842	12	3.90E-14	4.50E-27	0.10166	0.4255	teosinte/landrace
CHH	2	26840052	26840212	1.70E-10	-0.202477	16	4.10E-14	9.90E-17	0.094401	0.29688	teosinte/landrace
CHH	2	121616164	121616313	1.30E-12	0.344303	10	4.00E-14	7.80E-19	0.40151	0.057205	teosinte/landrace
CHH	2	129374621	129374756	0.0042	0.23098	9	5.80E-14	2.50E-09	0.42932	0.19834	teosinte/landrace
CHH	3	35656295	35656385	2.90E-07	0.221268	15	4.20E-14	1.70E-13	0.43514	0.21388	teosinte/landrace
CHH	3	154397819	154397908	3.50E-06	0.259703	9	4.30E-14	2.00E-12	0.35952	0.099816	teosinte/landrace
CHH	3	212750022	212750066	0.0087	-0.378011	6	1.40E-12	5.10E-09	0.080666	0.45868	teosinte/landrace
CHH	4	93322465	93322601	1.20E-18	0.257503	11	4.60E-14	7.10E-25	0.28803	0.030523	teosinte/landrace
CHH	4	97210759	97210862	8.40E-05	0.214563	6	9.90E-14	4.90E-11	0.29375	0.079184	teosinte/landrace
CHH	4	97214872	97215602	0.00072	0.266462	43	4.60E-14	4.20E-10	0.20807	0.099474	teosinte/landrace
CHH	4	112042715	112042744	0.0011	0.264935	6	1.70E-12	6.40E-10	0.51484	0.24991	teosinte/landrace
CHH	4	179370547	179370611	0.0028	0.259473	6	1.20E-12	1.60E-09	0.45704	0.19757	teosinte/landrace
CHH	5	13449778	13450034	1.00E-07	-0.26672	11	4.00E-14	6.10E-14	0.16464	0.43136	teosinte/landrace
CHH	5	40405939	40406056	0.00023	0.220533	6	4.80E-14	1.40E-10	0.28612	0.065589	teosinte/landrace
CHH	5	45324281	45324395	1.80E-13	0.31223	11	4.20E-14	1.00E-19	0.41653	0.10429	teosinte/landrace
CHH	5	53943559	53943616	8.40E-06	0.239988	6	9.20E-14	4.90E-12	0.29561	0.055626	teosinte/landrace
CHH	5	93943217	93943250	2.20E-10	0.218506	6	4.00E-14	1.30E-16	0.29473	0.076222	teosinte/landrace
CHH	5	103247720	103247814	1.80E-07	0.232666	11	4.40E-14	1.00E-13	0.29101	0.058345	teosinte/landrace
CHH	5	111299728	111299780	2.50E-05	0.24478	12	4.10E-14	1.40E-11	0.40919	0.16441	teosinte/landrace
CHH	5	152440110	152440305	0.0036	-0.21279	11	0.22	2.10E-09	0.022124	0.23491	teosinte/landrace
CHH	5	166271814	166271898	0.00033	0.257541	6	6.00E-13	2.00E-10	0.29001	0.032468	teosinte/landrace
CHH	5	220776861	220776948	5.00E-05	0.219881	6	1.00E-12	2.90E-11	0.26926	0.049379	teosinte/landrace
CHH	6	38595762	38595856	2.20E-40	-0.294019	13	3.80E-14	1.30E-46	0.0064123	0.30043	teosinte/landrace
CHH	6	90999971	90999995	6.90E-05	0.201863	6	4.80E-14	4.10E-11	0.23155	0.029692	teosinte/landrace
CHH	6	96989001	96989126	1.50E-12	0.205675	19	4.20E-14	8.90E-19	0.31242	0.10674	teosinte/landrace
CHH	6	127995516	127995667	0.00073	-0.239739	6	1.40E-09	4.30E-10	0.05105	0.29079	teosinte/landrace
CHH	7	39159361	39159444	1.20E-10	-0.235927	11	1.70E-10	6.90E-17	0.007795	0.24372	teosinte/landrace
CHH	7	40689229	40689299	1.80E-08	0.311952	6	4.60E-14	1.00E-14	0.35168	0.039731	teosinte/landrace
CHH	7	79825687	79825721	4.00E-06	0.210873	6	1.10E-12	2.40E-12	0.22685	0.015972	teosinte/landrace
CHH	7	114819450	114819535	0.0006	0.23121	6	1.20E-13	3.50E-10	0.30387	0.072661	teosinte/landrace
CHH	7	156488267	156488338	1.10E-06	-0.222948	6	6.90E-10	6.20E-13	0.1583	0.38125	teosinte/landrace
CHH	8	25345850	25345883	1.10E-07	-0.290554	6	4.10E-14	6.30E-14	0.12554	0.4161	teosinte/landrace
CHH	8	98962982	98963144	8.90E-26	-0.368323	14	4.00E-14	5.20E-32	0.08858	0.4569	teosinte/landrace
CHH	9	16491368	16491451	2.10E-10	0.259621	8	4.10E-14	1.20E-16	0.27065	0.011029	teosinte/landrace
CHH	9	22063895	22063988	1.40E-13	0.290035	9	4.40E-14	7.90E-20	0.36103	0.070996	teosinte/landrace
CHH	9	60321290	60321434	2.40E-07	0.350443	6	4.50E-14	1.40E-13	0.41038	0.05994	teosinte/landrace
CHH	9	60992225	60992256	1.60E-07	0.298568	6	4.30E-14	9.40E-14	0.35975	0.061181	teosinte/landrace
CHH	9	106728272	106728398	4.00E-12	0.262655	8	4.10E-14	2.30E-18	0.30078	0.038122	teosinte/landrace
CHH	9	153247730	153247821	0.0028	-0.276165	9	6.60E-11	1.60E-09	0.055247	0.33141	teosinte/landrace
CHH	9	158171392	158171449	8.50E-05	-0.281291	8	1.80E-13	5.00E-11	0.063636	0.34493	teosinte/landrace
CHH	10	43588253	43588333	0.004	0.227478	11	4.80E-14	2.30E-09	0.46607	0.23859	teosinte/landrace
CHH	10	52263857	52263885	1.20E-10	-0.378114	6	4.70E-14	7.30E-17	0.10299	0.48111	teosinte/landrace
CHH	10	147478140	147478266	9.10E-08	-0.268267	9	1.10E-13	5.30E-14	0.31784	0.58611	teosinte/landrace
CG	1	43669	43969	4.90E-15	0.519201	10	4.10E-14	4.20E-21	0.81223	0.29303	teosinte/maize
CG	1	48924	49061	3.20E-06	0.51416	6	3.90E-13	2.70E-12	0.86561	0.35145	teosinte/maize
CG	1	50157	50228	2.00E-13	0.483693	6	4.70E-14	1.70E-19	0.60999	0.1263	teosinte/maize
CG	1	172315	172382	0.0028	0.446275	6	4.50E-08	2.40E-09	0.84488	0.39861	teosinte/maize
CG	1	176381	177236	2.70E-48	0.422355	52	3.60E-14	2.30E-54	0.9019	0.47955	teosinte/maize
CG	1	178374	178590	5.20E-22	0.462951	21	4.40E-14	4.40E-28	0.89458	0.43162	teosinte/maize
CG	1	180304	181274	1.60E-97	0.459074	81	0	1.40E-103	0.85822	0.39915	teosinte/maize
CG	1	209303	209725	5.00E-136	0.857535	32	5.00E-14	4.20E-142	0.92833	0.070799	teosinte/maize
CG	1	210119	210619	1.50E-123	0.688249	36	3.60E-14	1.30E-129	0.75066	0.062407	teosinte/maize
CG	1	214744	215163	1.00E-72	0.53488	23	4.30E-14	8.70E-79	0.92394	0.38906	teosinte/maize
CG	1	215446	215498	2.10E-32	0.871307	8	3.70E-14	1.80E-38	0.88753	0.016222	teosinte/maize
CG	1	262589	263454	1.90E-287	0.890685	64	1	1.60E-293	0.89703	0.0063497	teosinte/maize
CG	1	277368	277739	4.70E-91	0.442837	46	5.10E-14	4.00E-97	0.45022	0.0073805	teosinte/maize
CG	1	277953	278291	2.30E-45	0.443663	23	4.20E-14	1.90E-51	0.44839	0.0047318	teosinte/maize
CG	1	278743	278799	8.10E-12	0.477348	6	4.30E-14	6.90E-18	0.47735	1.07E-07	teosinte/maize
CG	1	279706	280334	1.40E-88	0.513514	38	1.80E-14	1.20E-94	0.52341	0.0098964	teosinte/maize
CG	1	403614	403689	1.00E-16	-0.485353	6	4.20E-14	8.90E-23	0.36567	0.85102	teosinte/maize
CG	1	403764	404173	6.40E-145	-0.716995	39	5.20E-14	5.50E-151	0.10946	0.82646	teosinte/maize
CG	1	1028577	1028804	1.70E-27	-0.483414	16	4.30E-14	1.40E-33	0.34951	0.83292	teosinte/maize
CG	1	1235250	1235303	1.70E-12	-0.451136	11	3.90E-14	1.50E-18	0.1281	0.57924	teosinte/maize
CG	1	1259388	1259482	8.70E-34	-0.424724	25	3.70E-14	7.40E-40	0.24337	0.66809	teosinte/maize
CG	1	1802455	1802484	4.40E-06	-0.506971	6	5.90E-13	3.80E-12	0.26866	0.77564	teosinte/maize
CG	1	1819038	1819136	3.20E-14	0.63303	6	4.40E-14	2.70E-20	0.78015	0.14712	teosinte/maize
CG	1	1921105	1922082	4.60E-68	0.646403	31	5.00E-14	3.90E-74	0.92501	0.27861	teosinte/maize
CG	1	2022624	2022795	1.70E-10	0.428092	6	4.40E-14	1.50E-16	0.73695	0.30886	teosinte/maize
CG	1	2171452	2171591	1.30E-07	-0.537905	6	4.20E-14	1.10E-13	0.13293	0.67083	teosinte/maize
CG	1	2747542	2747761	2.00E-16	-0.420925	18	4.40E-14	1.70E-22	0.12578	0.5467	teosinte/maize
CG	1	2774255	2774603	4.60E-62	0.567566	20	5.40E-14	3.90E-68	0.56913	0.0015672	teosinte/maize
CG	1	2778705	2778972	3.40E-09	-0.476173	6	5.50E-14	2.90E-15	0.28414	0.76031	teosinte/maize
CG	1	3036285	3036820	3.00E-39	0.401805	25	4.60E-14	2.50E-45	0.58358	0.18178	teosinte/maize
CG	1	3122000	3122039	1.20E-06	-0.407702	7	5.20E-11	1.00E-12	0.19396	0.60167	teosinte/maize
CG	1	3486420	3486608	6.40E-33	-0.437302	20	4.50E-14	5.50E-39	0.34957	0.78687	teosinte/maize
CG	1	4404097	4404253	2.80E-39	-0.63532	15	4.10E-14	2.40E-45	0.14706	0.78238	teosinte/maize
CG	1	4424644	4424880	1.10E-25	-0.585392	13	4.00E-14	9.00E-32	0.17709	0.76248	teosinte/maize
CG	1	4734958	4735605	2.30E-55	-0.459091	37	4.50E-14	1.90E-61	0.027403	0.48649	teosinte/maize
CG	1	5144623	5144800	3.90E-10	0.571723	7	3.90E-14	3.30E-16	0.82977	0.25805	teosinte/maize
CG	1	5702997	5703244	2.60E-48	-0.620387	19	3.30E-14	2.30E-54	0.24313	0.86352	teosinte/maize
CG	1	5713594	5713733	5.70E-11	-0.466073	12	1.30E-11	4.80E-17	0.0027829	0.46886	teosinte/maize
CG	1	5945602	5945953	1.50E-07	-0.448289	8	4.20E-14	1.30E-13	0.28027	0.72856	teosinte/maize
CG	1	6383131	6383398	1.50E-09	0.460835	7	4.20E-14	1.30E-15	0.54252	0.081686	teosinte/maize
CG	1	6774810	6774878	6.50E-05	0.464194	6	3.70E-11	5.50E-11	0.83278	0.36858	teosinte/maize
CG	1	8057438	8057723	1.80E-32	0.712932	10	4.20E-14	1.50E-38	0.79031	0.077379	teosinte/maize
CG	1	8333707	8333761	6.40E-10	0.418389	9	4.50E-14	5.40E-16	0.83941	0.42102	teosinte/maize
CG	1	10349896	10350010	9.50E-11	-0.574684	7	4.20E-14	8.10E-17	0.16744	0.74213	teosinte/maize
CG	1	10966149	10966315	4.60E-06	0.473517	6	5.20E-14	4.00E-12	0.56123	0.087715	teosinte/maize
CG	1	11952089	11952289	3.20E-07	0.490304	6	4.30E-14	2.70E-13	0.5662	0.075891	teosinte/maize
CG	1	11986133	11986536	9.50E-05	0.448919	8	4.30E-14	8.10E-11	0.87189	0.42297	teosinte/maize
CG	1	12104450	12104738	1.10E-29	-0.432416	23	4.90E-14	9.70E-36	0.12461	0.55703	teosinte/maize
CG	1	14029457	14029910	8.10E-50	-0.563567	24	3.40E-14	6.90E-56	0.097798	0.66136	teosinte/maize
CG	1	14073638	14073731	1.20E-25	-0.524028	18	4.40E-14	1.00E-31	0.031462	0.55549	teosinte/maize
CG	1	14206952	14207144	2.20E-05	0.532281	6	4.20E-14	1.80E-11	0.85954	0.32726	teosinte/maize
CG	1	14256032	14256343	5.70E-53	0.626333	16	4.40E-14	4.80E-59	0.62862	0.002288	teosinte/maize
CG	1	14522183	14522872	1.70E-28	0.53285	17	4.20E-14	1.50E-34	0.83693	0.30408	teosinte/maize
CG	1	14883074	14883100	2.70E-07	0.555713	6	4.10E-14	2.30E-13	0.75277	0.19706	teosinte/maize
CG	1	15501928	15502025	1.70E-22	0.786272	7	3.80E-14	1.50E-28	0.90944	0.12316	teosinte/maize
CG	1	15503645	15504803	8.70E-50	0.658568	21	3.60E-14	7.40E-56	0.91448	0.25591	teosinte/maize
CG	1	17616579	17616961	9.70E-08	0.410227	12	4.30E-14	8.30E-14	0.87392	0.46369	teosinte/maize
CG	1	20531385	20531849	4.40E-20	0.415594	25	4.00E-14	3.70E-26	0.92238	0.50679	teosinte/maize
CG	1	21185990	21186169	8.30E-10	0.404899	12	4.70E-14	7.00E-16	0.81676	0.41186	teosinte/maize
CG	1	22485472	22485760	8.50E-18	-0.542423	8	4.60E-14	7.20E-24	0.23552	0.77795	teosinte/maize
CG	1	23119342	23119514	1.10E-13	0.456389	8	4.30E-14	9.40E-20	0.49688	0.040495	teosinte/maize
CG	1	23121918	23122033	2.00E-09	-0.469156	10	3.90E-14	1.70E-15	0.063559	0.53271	teosinte/maize
CG	1	23270067	23270267	9.10E-56	0.890574	12	4.80E-14	7.70E-62	0.89886	0.0082853	teosinte/maize
CG	1	23270811	23270863	5.90E-09	0.544899	6	7.20E-14	5.00E-15	0.9103	0.3654	teosinte/maize
CG	1	23271165	23271598	1.50E-63	0.654715	28	5.60E-14	1.30E-69	0.90221	0.24749	teosinte/maize
CG	1	23660339	23660523	6.50E-05	-0.444599	6	1.00E-11	5.50E-11	0.46131	0.90591	teosinte/maize
CG	1	25775385	25775689	7.30E-29	0.593559	11	4.50E-14	6.20E-35	0.70767	0.11411	teosinte/maize
CG	1	27256889	27257110	8.80E-20	-0.537977	9	4.60E-14	7.50E-26	0.041952	0.57993	teosinte/maize
CG	1	32617090	32617573	6.30E-29	0.437593	20	4.70E-14	5.30E-35	0.44241	0.0048195	teosinte/maize
CG	1	33301713	33302099	1.00E-10	0.429973	12	4.10E-14	8.70E-17	0.92703	0.49706	teosinte/maize
CG	1	34919558	34920043	3.30E-23	0.472332	11	4.80E-14	2.80E-29	0.47233	4.55E-08	teosinte/maize
CG	1	34921839	34922023	1.10E-15	0.539321	7	4.20E-14	9.70E-22	0.54711	0.0077893	teosinte/maize
CG	1	34971533	34971743	1.10E-08	-0.40348	8	4.70E-14	9.50E-15	0.22067	0.62415	teosinte/maize
CG	1	36898441	36898592	3.30E-22	-0.537888	10	4.70E-14	2.80E-28	0.093341	0.63123	teosinte/maize
CG	1	41897093	41897192	0.00021	0.477571	6	4.20E-12	1.80E-10	0.87465	0.39708	teosinte/maize
CG	1	46643487	46644117	1.30E-203	0.835275	44	-5.80E-15	1.10E-209	0.84433	0.0090516	teosinte/maize
CG	1	49361390	49361974	3.00E-17	-0.401249	12	4.70E-14	2.60E-23	0.39981	0.80106	teosinte/maize
CG	1	50010899	50011516	3.10E-50	-0.491821	20	4.00E-14	2.60E-56	0.29649	0.78831	teosinte/maize
CG	1	50506189	50506331	1.50E-12	-0.506016	8	5.10E-14	1.30E-18	0.0029042	0.50892	teosinte/maize
CG	1	50506761	50506904	4.50E-10	-0.458199	10	4.70E-06	3.80E-16	0.001125	0.45932	teosinte/maize
CG	1	62874523	62874774	1.10E-33	0.601787	13	4.30E-14	9.60E-40	0.79659	0.1948	teosinte/maize
CG	1	62881041	62881633	3.70E-157	0.695485	46	4.80E-14	3.20E-163	0.88381	0.18832	teosinte/maize
CG	1	69586693	69586915	1.60E-22	0.731205	7	4.80E-14	1.40E-28	0.81727	0.086065	teosinte/maize
CG	1	69844897	69845287	9.90E-20	-0.411355	20	4.70E-14	8.40E-26	0.14231	0.55366	teosinte/maize
CG	1	70217453	70217899	1.40E-32	-0.579904	15	4.80E-14	1.20E-38	0.24924	0.82914	teosinte/maize
CG	1	70229418	70229690	0.0063	-0.420865	6	1.60E-13	5.40E-09	0.22709	0.64796	teosinte/maize
CG	1	80851582	80851949	1.10E-59	0.898381	13	5.20E-14	9.70E-66	0.90654	0.0081638	teosinte/maize
CG	1	87097379	87097543	1.90E-21	0.513755	7	4.50E-14	1.70E-27	0.58675	0.072996	teosinte/maize
CG	1	87469157	87469601	6.70E-62	0.64627	25	3.20E-14	5.70E-68	0.91957	0.2733	teosinte/maize
CG	1	89354710	89354873	2.00E-09	0.599027	6	4.20E-14	1.70E-15	0.82615	0.22712	teosinte/maize
CG	1	91725963	91726098	9.90E-11	0.431966	9	4.30E-14	8.40E-17	0.80141	0.36945	teosinte/maize
CG	1	95965899	95966550	4.90E-28	-0.503604	18	5.10E-14	4.20E-34	0.32802	0.83163	teosinte/maize
CG	1	99289509	99289619	1.40E-19	-0.748984	6	4.50E-14	1.20E-25	0.17032	0.9193	teosinte/maize
CG	1	100750503	100750759	2.10E-41	0.511416	18	4.40E-14	1.80E-47	0.54639	0.034971	teosinte/maize
CG	1	100751107	100751510	3.00E-79	0.538143	23	3.70E-14	2.60E-85	0.54648	0.0083402	teosinte/maize
CG	1	103911182	103911332	3.30E-17	0.505199	7	4.30E-14	2.80E-23	0.53986	0.03466	teosinte/maize
CG	1	104121606	104121821	2.00E-17	0.476633	9	4.50E-14	1.70E-23	0.51453	0.037897	teosinte/maize
CG	1	106182380	106182580	9.60E-37	-0.665128	12	4.80E-14	8.20E-43	0.16759	0.83272	teosinte/maize
CG	1	108589990	108590312	2.50E-32	0.711506	10	4.20E-14	2.10E-38	0.77928	0.067774	teosinte/maize
CG	1	109471599	109471786	2.70E-13	-0.490579	9	4.70E-14	2.30E-19	0.2768	0.76738	teosinte/maize
CG	1	115218159	115218513	3.30E-32	0.740567	11	4.30E-14	2.80E-38	0.91072	0.17015	teosinte/maize
CG	1	115413183	115413317	2.30E-08	0.468627	9	4.70E-14	2.00E-14	0.78763	0.319	teosinte/maize
CG	1	115465055	115465118	6.30E-20	-0.697432	9	4.70E-14	5.40E-26	0.026826	0.72426	teosinte/maize
CG	1	118122360	118122518	1.60E-36	0.874912	9	4.40E-14	1.40E-42	0.91819	0.043278	teosinte/maize
CG	1	118829229	118829326	1.80E-11	0.467648	6	4.20E-14	1.60E-17	0.49101	0.023365	teosinte/maize
CG	1	118877127	118877471	4.30E-43	-0.452262	26	5.80E-14	3.70E-49	0.30383	0.7561	teosinte/maize
CG	1	119488035	119488591	1.50E-64	0.576259	20	5.80E-14	1.30E-70	0.61211	0.035853	teosinte/maize
CG	1	119922625	119923317	2.20E-75	0.816562	18	4.20E-14	1.80E-81	0.84106	0.024495	teosinte/maize
CG	1	119937086	119937268	7.10E-46	0.845883	10	3.90E-14	6.00E-52	0.85364	0.0077553	teosinte/maize
CG	1	120090063	120090384	7.30E-31	0.79314	10	3.70E-14	6.20E-37	0.93077	0.13763	teosinte/maize
CG	1	120117347	120117517	4.10E-24	0.670835	10	5.00E-14	3.50E-30	0.89252	0.22168	teosinte/maize
CG	1	120205987	120206360	6.40E-63	0.776137	20	4.10E-14	5.50E-69	0.92114	0.14501	teosinte/maize
CG	1	123675490	123675641	1.00E-15	0.611899	9	4.20E-14	8.70E-22	0.86071	0.24881	teosinte/maize
CG	1	125484967	125485600	5.30E-45	0.483265	30	3.90E-14	4.50E-51	0.77885	0.29559	teosinte/maize
CG	1	125650255	125650495	1.80E-38	0.450197	17	4.50E-14	1.50E-44	0.53516	0.084965	teosinte/maize
CG	1	125808073	125808659	1.40E-23	-0.414796	25	5.10E-14	1.20E-29	0.28123	0.69603	teosinte/maize
CG	1	126728182	126728399	2.10E-19	0.702577	7	4.30E-14	1.80E-25	0.7488	0.046226	teosinte/maize
CG	1	127254313	127254855	1.30E-40	-0.482688	22	5.00E-14	1.10E-46	0.40661	0.8893	teosinte/maize
CG	1	127255057	127255376	1.30E-29	-0.489705	16	3.90E-14	1.10E-35	0.42441	0.91411	teosinte/maize
CG	1	127255699	127255877	9.90E-08	-0.415444	8	4.40E-14	8.50E-14	0.43808	0.85353	teosinte/maize
CG	1	127360375	127360646	2.70E-29	0.461579	16	4.30E-14	2.30E-35	0.61867	0.1571	teosinte/maize
CG	1	127801608	127801761	4.70E-08	0.531371	6	4.50E-14	4.00E-14	0.80806	0.27668	teosinte/maize
CG	1	127862506	127862699	6.80E-15	0.501064	9	4.40E-14	5.80E-21	0.77452	0.27346	teosinte/maize
CG	1	128271743	128272044	1.90E-20	-0.487206	12	4.30E-14	1.60E-26	0.41435	0.90155	teosinte/maize
CG	1	128761289	128761566	1.10E-24	0.405028	14	4.50E-14	9.40E-31	0.51556	0.11053	teosinte/maize
CG	1	128775253	128775637	3.00E-84	0.693856	23	5.90E-14	2.60E-90	0.72267	0.028814	teosinte/maize
CG	1	129034271	129034383	9.60E-11	-0.475872	7	4.20E-14	8.10E-17	0.42375	0.89962	teosinte/maize
CG	1	129034877	129035163	2.50E-22	-0.456481	15	3.80E-14	2.10E-28	0.46374	0.92022	teosinte/maize
CG	1	129828546	129829765	7.30E-153	0.565116	75	2.80E-14	6.20E-159	0.63865	0.073534	teosinte/maize
CG	1	130307117	130307623	4.60E-83	-0.632515	29	6.40E-14	3.90E-89	0.27044	0.90296	teosinte/maize
CG	1	130473811	130474366	1.00E-45	-0.442372	31	3.70E-14	8.60E-52	0.33541	0.77778	teosinte/maize
CG	1	130576248	130577147	2.00E-41	-0.412095	30	4.60E-14	1.70E-47	0.42533	0.83742	teosinte/maize
CG	1	130926448	130926768	7.00E-53	0.550477	19	4.00E-14	5.90E-59	0.69785	0.14737	teosinte/maize
CG	1	131051383	131051539	4.20E-19	-0.614953	8	4.90E-14	3.60E-25	0.2205	0.83545	teosinte/maize
CG	1	132400306	132400517	2.50E-26	-0.737647	7	3.70E-14	2.10E-32	0.02287	0.76052	teosinte/maize
CG	1	135668406	135668949	2.90E-83	0.817325	21	5.20E-14	2.50E-89	0.86341	0.04609	teosinte/maize
CG	1	137256138	137256333	2.20E-13	0.534197	10	4.60E-14	1.90E-19	0.90608	0.37188	teosinte/maize
CG	1	137652238	137652317	2.40E-22	0.732516	8	4.30E-14	2.00E-28	0.9401	0.20758	teosinte/maize
CG	1	139367230	139367635	1.10E-59	0.846393	15	3.10E-14	9.00E-66	0.87401	0.027619	teosinte/maize
CG	1	139460699	139460952	1.20E-19	0.655309	9	5.10E-14	1.00E-25	0.88457	0.22927	teosinte/maize
CG	1	139679173	139679888	1.70E-30	-0.460576	16	4.10E-14	1.40E-36	0.37204	0.83262	teosinte/maize
CG	1	140038533	140039212	2.40E-119	0.890617	27	3.90E-14	2.00E-125	0.89556	0.0049409	teosinte/maize
CG	1	140271065	140271322	1.70E-38	-0.764645	10	4.70E-14	1.40E-44	0.10848	0.87313	teosinte/maize
CG	1	140271648	140272016	3.00E-20	-0.735349	6	4.20E-14	2.50E-26	0.10396	0.83931	teosinte/maize
CG	1	140677329	140677734	0.0008	0.44495	6	6.30E-12	6.80E-10	0.77461	0.32966	teosinte/maize
CG	1	140851632	140851811	1.30E-17	0.581118	8	4.30E-14	1.10E-23	0.75742	0.1763	teosinte/maize
CG	1	143691239	143691318	9.10E-19	0.687282	6	4.30E-14	7.70E-25	0.73252	0.045238	teosinte/maize
CG	1	145512435	145512757	0.41	0.421208	6	4.00E-12	3.50E-07	0.917	0.49579	teosinte/maize
CG	1	147358586	147358719	9.00E-16	-0.47696	10	4.00E-14	7.70E-22	0.2213	0.69826	teosinte/maize
CG	1	148266769	148266879	1.40E-13	0.433651	9	4.50E-14	1.20E-19	0.56501	0.13136	teosinte/maize
CG	1	148438548	148438802	5.00E-46	0.844351	11	3.90E-14	4.30E-52	0.87341	0.029055	teosinte/maize
CG	1	152104422	152104590	2.60E-16	0.581923	7	4.40E-14	2.20E-22	0.69976	0.11784	teosinte/maize
CG	1	154091849	154092097	1.10E-26	0.70621	7	3.90E-14	9.20E-33	0.71483	0.008623	teosinte/maize
CG	1	155197993	155198227	7.30E-26	0.655167	11	3.70E-14	6.20E-32	0.89075	0.23558	teosinte/maize
CG	1	156404817	156404944	1.80E-05	-0.419859	8	2.80E-12	1.50E-11	0.27963	0.69949	teosinte/maize
CG	1	156585603	156585739	2.60E-14	0.698136	6	4.40E-14	2.30E-20	0.91254	0.2144	teosinte/maize
CG	1	156677247	156677418	3.20E-08	0.443261	10	4.50E-14	2.70E-14	0.89443	0.45117	teosinte/maize
CG	1	159291815	159292000	3.40E-24	0.594212	9	3.90E-14	2.90E-30	0.68417	0.089963	teosinte/maize
CG	1	164215919	164216311	6.20E-19	-0.569991	9	3.80E-14	5.30E-25	0.31028	0.88027	teosinte/maize
CG	1	164218433	164218586	0.0014	0.427711	8	8.40E-14	1.20E-09	0.8269	0.39919	teosinte/maize
CG	1	164365874	164366014	3.20E-35	0.501359	17	3.70E-14	2.70E-41	0.62195	0.12059	teosinte/maize
